Rank,id,value,mesure,Year,Estación,nombre
0,115,0.052631579,in_deg_cent,2021,Roma - Dinamarca,115. Roma - Dinamarca (0.0526)
1,139,0.052631579,in_deg_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.0526)
2,449,0.052631579,in_deg_cent,2021,Acapulco - Puebla,449. Acapulco - Puebla (0.0526)
3,426,0.052631579,in_deg_cent,2021,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),426. Mayorazgo de Solís - Av. Popocatépetl (Eje 8) (0.0526)
4,266,0.052631579,in_deg_cent,2021,Jesús García - Carlos J. Meneses,266. Jesús García - Carlos J. Meneses (0.0526)
5,391,0.052631579,in_deg_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0526)
6,33,0.052631579,in_deg_cent,2021,Londres - Florencia,33. Londres - Florencia (0.0526)
7,327,0.052631579,in_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.0526)
8,295,0.052631579,in_deg_cent,2021,Anaxágoras - Eje 4 Sur Xola,295. Anaxágoras - Eje 4 Sur Xola (0.0526)
9,47,0.052631579,in_deg_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.0526)
10,30,0.052631579,in_deg_cent,2021,Hamburgo - Génova,30. Hamburgo - Génova (0.0526)
11,296,0.052631579,in_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,296. Diagonal San Antonio - Enrique Rébsamen (0.0526)
12,276,0.052631579,in_deg_cent,2021,Anaxágoras - Obrero Mundial,276. Anaxágoras - Obrero Mundial (0.0526)
13,27,0.052631579,in_deg_cent,2021,Reforma - Havre,27. Reforma - Havre (0.0526)
14,260,0.052631579,in_deg_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.0526)
15,257,0.052631579,in_deg_cent,2021,Manuel María Conteras - Villalongín,257. Manuel María Conteras - Villalongín (0.0526)
16,1,0.052631579,in_deg_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0526)
17,41,0,in_deg_cent,2021,Reforma - De la República,41. Reforma - De la República (0.0)
18,18,0,in_deg_cent,2021,Reforma - Río Rhin,18. Reforma - Río Rhin (0.0)
19,317,0,in_deg_cent,2021,Avenida Coyoacán - Torres Adalid,317. Avenida Coyoacán - Torres Adalid (0.0)
0,115,0.052631579,out_deg_cent,2021,Roma - Dinamarca,115. Roma - Dinamarca (0.0526)
1,30,0.052631579,out_deg_cent,2021,Hamburgo - Génova,30. Hamburgo - Génova (0.0526)
2,449,0.052631579,out_deg_cent,2021,Acapulco - Puebla,449. Acapulco - Puebla (0.0526)
3,426,0.052631579,out_deg_cent,2021,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),426. Mayorazgo de Solís - Av. Popocatépetl (Eje 8) (0.0526)
4,41,0.052631579,out_deg_cent,2021,Reforma - De la República,41. Reforma - De la República (0.0526)
5,391,0.052631579,out_deg_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0526)
6,33,0.052631579,out_deg_cent,2021,Londres - Florencia,33. Londres - Florencia (0.0526)
7,327,0.052631579,out_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.0526)
8,139,0.052631579,out_deg_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.0526)
9,317,0.052631579,out_deg_cent,2021,Avenida Coyoacán - Torres Adalid,317. Avenida Coyoacán - Torres Adalid (0.0526)
10,296,0.052631579,out_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,296. Diagonal San Antonio - Enrique Rébsamen (0.0526)
11,276,0.052631579,out_deg_cent,2021,Anaxágoras - Obrero Mundial,276. Anaxágoras - Obrero Mundial (0.0526)
12,27,0.052631579,out_deg_cent,2021,Reforma - Havre,27. Reforma - Havre (0.0526)
13,260,0.052631579,out_deg_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.0526)
14,257,0.052631579,out_deg_cent,2021,Manuel María Conteras - Villalongín,257. Manuel María Conteras - Villalongín (0.0526)
15,18,0.052631579,out_deg_cent,2021,Reforma - Río Rhin,18. Reforma - Río Rhin (0.0526)
16,47,0.052631579,out_deg_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.0526)
17,295,0,out_deg_cent,2021,Anaxágoras - Eje 4 Sur Xola,295. Anaxágoras - Eje 4 Sur Xola (0.0)
18,266,0,out_deg_cent,2021,Jesús García - Carlos J. Meneses,266. Jesús García - Carlos J. Meneses (0.0)
19,1,0,out_deg_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0)
0,295,0.052631579,close_cent,2021,Anaxágoras - Eje 4 Sur Xola,295. Anaxágoras - Eje 4 Sur Xola (0.0526)
1,1,0.052631579,close_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0526)
2,266,0.052631579,close_cent,2021,Jesús García - Carlos J. Meneses,266. Jesús García - Carlos J. Meneses (0.0526)
