Rank,id,value,mesure,Year,Estación,nombre
57,299,0.008,in_deg_cent,2021,Romero de Terreros - Mier y Pesado,299. Romero de Terreros - Mier y Pesado (0.008)
58,58,0.008,in_deg_cent,2021,Parque España - Juan de la Barrera,58. Parque España - Juan de la Barrera (0.008)
59,53,0.008,in_deg_cent,2021,Fernando Montes de Oca - Tula,53. Fernando Montes de Oca - Tula (0.008)
60,36,0.008,in_deg_cent,2021,Puebla - Veracruz,36. Puebla - Veracruz (0.008)
61,6,0.008,in_deg_cent,2021,Río Pánuco - Río Sena,6. Río Pánuco - Río Sena (0.008)
62,34,0.008,in_deg_cent,2021,Liverpool - Génova,34. Liverpool - Génova (0.008)
63,30,0.008,in_deg_cent,2021,Hamburgo - Génova,30. Hamburgo - Génova (0.008)
64,297,0.008,in_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,297. Diagonal San Antonio - Enrique Rébsamen (0.008)
65,296,0.008,in_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,296. Diagonal San Antonio - Enrique Rébsamen (0.008)
66,222,0.008,in_deg_cent,2021,Alejandro Dumas - Presidente Masaryk,222. Alejandro Dumas - Presidente Masaryk (0.008)
67,184,0.008,in_deg_cent,2021,General Gómez Pedraza - Gobernador Tiburcio Montiel,184. General Gómez Pedraza - Gobernador Tiburcio Montiel (0.008)
68,47,0.008,in_deg_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.008)
69,117,0.008,in_deg_cent,2021,Londres - Nápoles,117. Londres - Nápoles (0.008)
70,142,0.008,in_deg_cent,2021,San Luis Potosí - Eje 2 Pte. Monterrey,142. San Luis Potosí - Eje 2 Pte. Monterrey (0.008)
71,137,0.008,in_deg_cent,2021,Álvaro Obregón - Mérida,137. Álvaro Obregón - Mérida (0.008)
72,56,0.008,in_deg_cent,2021,Álvaro Obregón - Medellín,56. Álvaro Obregón - Medellín (0.008)
73,133,0.008,in_deg_cent,2021,Colima - Morelia,133. Colima - Morelia (0.008)
74,129,0.008,in_deg_cent,2021,Tonalá - Durango,129. Tonalá - Durango (0.008)
75,125,0.008,in_deg_cent,2021,Morelia - Circular de Morelia,125. Morelia - Circular de Morelia (0.008)
76,82,0.008,in_deg_cent,2021,Independencia - Marroquí,82. Independencia - Marroquí (0.008)
77,124,0.008,in_deg_cent,2021,Claudio Bernard - Dr. Liceaga,124. Claudio Bernard - Dr. Liceaga (0.008)
78,123,0.008,in_deg_cent,2021,Claudio Bernard - Dr. Lavista,123. Claudio Bernard - Dr. Lavista (0.008)
79,116,0.008,in_deg_cent,2021,Londres - Roma,116. Londres - Roma (0.008)
80,145,0.008,in_deg_cent,2021,Yucatán - Chiapas,145. Yucatán - Chiapas (0.008)
81,115,0.008,in_deg_cent,2021,Roma - Dinamarca,115. Roma - Dinamarca (0.008)
82,112,0.008,in_deg_cent,2021,Av. Morelos - Abraham González,112. Av. Morelos - Abraham González (0.008)
83,11,0.008,in_deg_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.008)
84,113,0.008,in_deg_cent,2021,General Prim - Versalles,113. General Prim - Versalles (0.008)
85,107,0.008,in_deg_cent,2021,Tolsá - Balderas,107. Tolsá - Balderas (0.008)
86,106,0.008,in_deg_cent,2021,San Jerónimo - José María Pino Suarez,106. San Jerónimo - José María Pino Suarez (0.008)
87,103,0.008,in_deg_cent,2021,Joaquín Velázquez de León - García Icazbalceta,103. Joaquín Velázquez de León - García Icazbalceta (0.008)
88,10,0.008,in_deg_cent,2021,Reforma - Ramírez,10. Reforma - Ramírez (0.008)
89,35,0.008,in_deg_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.008)
90,144,0.008,in_deg_cent,2021,Frontera - San Luis Potosí,144. Frontera - San Luis Potosí (0.008)
91,146,0.008,in_deg_cent,2021,Coahuila - Manzanillo,146. Coahuila - Manzanillo (0.008)
92,169,0.008,in_deg_cent,2021,Prosperidad - Progreso,169. Prosperidad - Progreso (0.008)
93,149,0.008,in_deg_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.008)
94,4,0.008,in_deg_cent,2021,Río Nilo - Río Pánuco,4. Río Nilo - Río Pánuco (0.008)
95,195,0.008,in_deg_cent,2021,Reforma - Mahatma Gandhi,195. Reforma - Mahatma Gandhi (0.008)
96,194,0.008,in_deg_cent,2021,Circuito Mahatma Gandhi - Reforma,194. Circuito Mahatma Gandhi - Reforma (0.008)
97,190,0.008,in_deg_cent,2021,Gobernador Ignacio Esteva - Maestro José Vasconcelos,190. Gobernador Ignacio Esteva - Maestro José Vasconcelos (0.008)
98,182,0.008,in_deg_cent,2021,Progreso - Astrónomos,182. Progreso - Astrónomos (0.008)
99,181,0.008,in_deg_cent,2021,Benjamín Franklin - Ometusco,181. Benjamín Franklin - Ometusco (0.008)
100,303,0.008,in_deg_cent,2021,Montecito - Av. Insurgentes,303. Montecito - Av. Insurgentes (0.008)
101,474,0.008,in_deg_cent,2021,Bahía de San Hipólito - Bahía del Espíritu Santo,474. Bahía de San Hipólito - Bahía del Espíritu Santo (0.008)
102,175,0.008,in_deg_cent,2021,Mutualismo - José Martí,175. Mutualismo - José Martí (0.008)
103,172,0.008,in_deg_cent,2021,General Francisco Murguía - José Martí,172. General Francisco Murguía - José Martí (0.008)
104,407,0.008,in_deg_cent,2021,Prolongación Xochicalco - General Emiliano Zapata,407. Prolongación Xochicalco - General Emiliano Zapata (0.008)
105,286,0.008,in_deg_cent,2021,13 de Septiembre - Avenida Patriotismo,286. 13 de Septiembre - Avenida Patriotismo (0.008)
106,167,0.008,in_deg_cent,2021,General Salvador Alvarado - Progreso,167. General Salvador Alvarado - Progreso (0.008)
107,164,0.008,in_deg_cent,2021,Bajío - Tlacotalpan,164. Bajío - Tlacotalpan (0.008)
108,165,0.008,in_deg_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.008)
109,162,0.008,in_deg_cent,2021,Tehuantepec - Medellín,162. Tehuantepec - Medellín (0.008)
110,160,0.008,in_deg_cent,2021,Alfonso Herrera - Gabino Barreda,160. Alfonso Herrera - Gabino Barreda (0.008)
111,16,0.008,in_deg_cent,2021,Reforma - Río Tíber,16. Reforma - Río Tíber (0.008)
112,155,0.008,in_deg_cent,2021,Jalapa - Tlaxcala,155. Jalapa - Tlaxcala (0.008)
113,158,0.008,in_deg_cent,2021,Huatabampo - Eje 1 Pte. Av. Cuauhtémoc,158. Huatabampo - Eje 1 Pte. Av. Cuauhtémoc (0.008)
114,150,0.008,in_deg_cent,2021,Campeche - Medellín,150. Campeche - Medellín (0.008)
115,476,0,in_deg_cent,2021,Lago Como - Laguna de Mayrán,476. Lago Como - Laguna de Mayrán (0.0)
116,204,0,in_deg_cent,2021,Temístocles - Homero,204. Temístocles - Homero (0.0)
117,396,0,in_deg_cent,2021,Martín Mendalde - Félix Cuevas,396. Martín Mendalde - Félix Cuevas (0.0)
118,390,0,in_deg_cent,2021,Oso - Félix Cuevas,390. Oso - Félix Cuevas (0.0)
119,366,0,in_deg_cent,2021,Porfirio Díaz - Augusto Rodin,366. Porfirio Díaz - Augusto Rodin (0.0)
120,256,0,in_deg_cent,2021,Gómez Farías - Sadi Carnot,256. Gómez Farías - Sadi Carnot (0.0)
121,24,0,in_deg_cent,2021,Reforma - Varsovia,24. Reforma - Varsovia (0.0)
122,211,0,in_deg_cent,2021,Isaac Newton - Horacio,211. Isaac Newton - Horacio (0.0)
123,208,0,in_deg_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.0)
124,180,0,in_deg_cent,2021,Quintana Roo - Villahermosa,180. Quintana Roo - Villahermosa (0.0)
125,48,0,in_deg_cent,2021,Independencia - Azueta,48. Independencia - Azueta (0.0)
0,1,0.048,out_deg_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.048)
1,41,0.032,out_deg_cent,2021,Reforma - De la República,41. Reforma - De la República (0.032)
2,174,0.032,out_deg_cent,2021,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.032)
3,135,0.024,out_deg_cent,2021,Álvaro Obregón - Morelia,135. Álvaro Obregón - Morelia (0.024)
