Rank,id,value,mesure,Year,Estación,nombre
33,208,0,close_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.0)
34,141,0,close_cent,2021,Zacatecas - Luis Cabrera,141. Zacatecas - Luis Cabrera (0.0)
35,150,0,close_cent,2021,Campeche - Medellín,150. Campeche - Medellín (0.0)
36,194,0,close_cent,2021,Circuito Mahatma Gandhi - Reforma,194. Circuito Mahatma Gandhi - Reforma (0.0)
37,184,0,close_cent,2021,General Gómez Pedraza - Gobernador Tiburcio Montiel,184. General Gómez Pedraza - Gobernador Tiburcio Montiel (0.0)
38,151,0,close_cent,2021,Campeche - Tonalá,151. Campeche - Tonalá (0.0)
39,153,0,close_cent,2021,Manzanillo - Tlaxcala,153. Manzanillo - Tlaxcala (0.0)
40,47,0,close_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.0)
0,1,0.003205128,between_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0032)
1,174,0.000641026,between_cent,2021,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.0006)
2,206,0.000641026,between_cent,2021,Moliere - Homero,206. Moliere - Homero (0.0006)
3,33,0,between_cent,2021,Londres - Florencia,33. Londres - Florencia (0.0)
4,204,0,between_cent,2021,Temístocles - Homero,204. Temístocles - Homero (0.0)
5,208,0,between_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.0)
6,260,0,between_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.0)
7,27,0,between_cent,2021,Reforma - Havre,27. Reforma - Havre (0.0)
8,270,0,between_cent,2021,De la República - Ponciano Arriaga,270. De la República - Ponciano Arriaga (0.0)
9,327,0,between_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.0)
10,35,0,between_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.0)
11,184,0,between_cent,2021,General Gómez Pedraza - Gobernador Tiburcio Montiel,184. General Gómez Pedraza - Gobernador Tiburcio Montiel (0.0)
12,366,0,between_cent,2021,Porfirio Díaz - Augusto Rodin,366. Porfirio Díaz - Augusto Rodin (0.0)
13,369,0,between_cent,2021,Porfirio Díaz - Avenida Insurgentes,369. Porfirio Díaz - Avenida Insurgentes (0.0)
14,390,0,between_cent,2021,Oso - Félix Cuevas,390. Oso - Félix Cuevas (0.0)
15,302,0,between_cent,2021,Luz Saviñón - Magdalena,302. Luz Saviñón - Magdalena (0.0)
16,391,0,between_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0)
17,41,0,between_cent,2021,Reforma - De la República,41. Reforma - De la República (0.0)
18,426,0,between_cent,2021,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),426. Mayorazgo de Solís - Av. Popocatépetl (Eje 8) (0.0)
19,449,0,between_cent,2021,Acapulco - Puebla,449. Acapulco - Puebla (0.0)
20,194,0,between_cent,2021,Circuito Mahatma Gandhi - Reforma,194. Circuito Mahatma Gandhi - Reforma (0.0)
21,183,0,between_cent,2021,Gabino Barreda - Guillermo Prieto,183. Gabino Barreda - Guillermo Prieto (0.0)
22,11,0,between_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.0)
23,141,0,between_cent,2021,Zacatecas - Luis Cabrera,141. Zacatecas - Luis Cabrera (0.0)
24,18,0,between_cent,2021,Reforma - Río Rhin,18. Reforma - Río Rhin (0.0)
25,86,0,between_cent,2021,Sullivan - Insurgentes,86. Sullivan - Insurgentes (0.0)
26,111,0,between_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.0)
27,125,0,between_cent,2021,Morelia - Circular de Morelia,125. Morelia - Circular de Morelia (0.0)
28,135,0,between_cent,2021,Álvaro Obregón - Morelia,135. Álvaro Obregón - Morelia (0.0)
29,136,0,between_cent,2021,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.0)
30,139,0,between_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.0)
31,150,0,between_cent,2021,Campeche - Medellín,150. Campeche - Medellín (0.0)
32,165,0,between_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.0)
33,151,0,between_cent,2021,Campeche - Tonalá,151. Campeche - Tonalá (0.0)
34,281,0,between_cent,2021,Pitágoras - La Morena,281. Pitágoras - La Morena (0.0)
35,153,0,between_cent,2021,Manzanillo - Tlaxcala,153. Manzanillo - Tlaxcala (0.0)
36,149,0,between_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.0)
37,158,0,between_cent,2021,Huatabampo - Eje 1 Pte. Av. Cuauhtémoc,158. Huatabampo - Eje 1 Pte. Av. Cuauhtémoc (0.0)
38,134,0,between_cent,2021,Álvaro Obregón - Orizaba,134. Álvaro Obregón - Orizaba (0.0)
39,163,0,between_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.0)
40,47,0,between_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.0)
0,0,0,average_clustering,2021,,
1,0,0.100557718,degree_assortativity,2021,,
2,0,0.100557718,degree_pearson_corr,2021,,
0,1,0.059210526,in_deg_cent,2019,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0592)
1,27,0.039473684,in_deg_cent,2019,Reforma - Havre,27. Reforma - Havre (0.0395)
2,174,0.039473684,in_deg_cent,2019,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.0395)
3,141,0.026315789,in_deg_cent,2019,Zacatecas - Luis Cabrera,141. Zacatecas - Luis Cabrera (0.0263)
4,18,0.026315789,in_deg_cent,2019,Reforma - Río Rhin,18. Reforma - Río Rhin (0.0263)
5,182,0.026315789,in_deg_cent,2019,Progreso - Astrónomos,182. Progreso - Astrónomos (0.0263)
6,266,0.026315789,in_deg_cent,2019,Jesús García - Carlos J. Meneses,266. Jesús García - Carlos J. Meneses (0.0263)
7,158,0.019736842,in_deg_cent,2019,Huatabampo - Eje 1 Pte. Av. Cuauhtémoc,158. Huatabampo - Eje 1 Pte. Av. Cuauhtémoc (0.0197)
8,217,0.019736842,in_deg_cent,2019,Euler - Av. Horacio,217. Euler - Av. Horacio (0.0197)
9,126,0.019736842,in_deg_cent,2019,Jalapa - Puebla,126. Jalapa - Puebla (0.0197)
10,134,0.019736842,in_deg_cent,2019,Álvaro Obregón - Orizaba,134. Álvaro Obregón - Orizaba (0.0197)
11,136,0.019736842,in_deg_cent,2019,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.0197)
12,145,0.019736842,in_deg_cent,2019,Yucatán - Chiapas,145. Yucatán - Chiapas (0.0197)
13,139,0.019736842,in_deg_cent,2019,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.0197)
14,206,0.019736842,in_deg_cent,2019,Moliere - Homero,206. Moliere - Homero (0.0197)
15,208,0.019736842,in_deg_cent,2019,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.0197)
16,16,0.019736842,in_deg_cent,2019,Reforma - Río Tíber,16. Reforma - Río Tíber (0.0197)
17,185,0.019736842,in_deg_cent,2019,General Antonio León - General Pedro Antonio de los Santos,185. General Antonio León - General Pedro Antonio de los Santos (0.0197)
18,111,0.013157895,in_deg_cent,2019,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.0132)
19,312,0.013157895,in_deg_cent,2019,Avenida 2 - Calle 7,312. Avenida 2 - Calle 7 (0.0132)
20,38,0.013157895,in_deg_cent,2019,Cozumel - Puebla,38. Cozumel - Puebla (0.0132)
21,295,0.013157895,in_deg_cent,2019,Anaxágoras - Eje 4 Sur Xola,295. Anaxágoras - Eje 4 Sur Xola (0.0132)
22,183,0.013157895,in_deg_cent,2019,Gabino Barreda - Guillermo Prieto,183. Gabino Barreda - Guillermo Prieto (0.0132)
23,35,0.013157895,in_deg_cent,2019,Liverpool - Génova,35. Liverpool - Génova (0.0132)
24,459,0.013157895,in_deg_cent,2019,Volcán - Montes Urales,459. Volcán - Montes Urales (0.0132)
25,310,0.013157895,in_deg_cent,2019,Calle 1 - Patriotismo,310. Calle 1 - Patriotismo (0.0132)
26,147,0.013157895,in_deg_cent,2019,Coahuila - Orizaba,147. Coahuila - Orizaba (0.0132)
27,163,0.013157895,in_deg_cent,2019,Toluca - Bajío,163. Toluca - Bajío (0.0132)
28,165,0.013157895,in_deg_cent,2019,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.0132)
29,167,0.013157895,in_deg_cent,2019,General Salvador Alvarado - Progreso,167. General Salvador Alvarado - Progreso (0.0132)
30,36,0.013157895,in_deg_cent,2019,Puebla - Veracruz,36. Puebla - Veracruz (0.0132)
31,270,0.013157895,in_deg_cent,2019,De la República - Ponciano Arriaga,270. De la República - Ponciano Arriaga (0.0132)
32,43,0.013157895,in_deg_cent,2019,Juárez - Dr. Mora,43. Juárez - Dr. Mora (0.0132)
33,356,0.013157895,in_deg_cent,2019,Matías Romero - Adolfo Prieto,356. Matías Romero - Adolfo Prieto (0.0132)
34,19,0.013157895,in_deg_cent,2019,Reforma - Río Rhin,19. Reforma - Río Rhin (0.0132)
35,47,0.013157895,in_deg_cent,2019,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.0132)
36,255,0.013157895,in_deg_cent,2019,José Rosas Moreno - Guillermo Prieto,255. José Rosas Moreno - Guillermo Prieto (0.0132)
37,369,0.013157895,in_deg_cent,2019,Porfirio Díaz - Avenida Insurgentes,369. Porfirio Díaz - Avenida Insurgentes (0.0132)
38,319,0.006578947,in_deg_cent,2019,Diagonal San Antonio - Luz Saviñón,319. Diagonal San Antonio - Luz Saviñón (0.0066)
39,197,0.006578947,in_deg_cent,2019,Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca,197. Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca (0.0066)
40,398,0.006578947,in_deg_cent,2019,Juan Sánchez Azcona - Félix Cuevas,398. Juan Sánchez Azcona - Félix Cuevas (0.0066)
41,391,0.006578947,in_deg_cent,2019,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0066)
42,402,0.006578947,in_deg_cent,2019,Uxmal - Municipio Libre,402. Uxmal - Municipio Libre (0.0066)
43,437,0.006578947,in_deg_cent,2019,Moras - Comunal,437. Moras - Comunal (0.0066)
44,202,0.006578947,in_deg_cent,2019,Calderón de la Barca - Homero,202. Calderón de la Barca - Homero (0.0066)
45,232,0.006578947,in_deg_cent,2019,Taine - Rubén Darío,232. Taine - Rubén Darío (0.0066)
46,239,0.006578947,in_deg_cent,2019,Rincón del Bosque - Rubén Darío,239. Rincón del Bosque - Rubén Darío (0.0066)
47,460,0.006578947,in_deg_cent,2019,Juan Vázquez de Mella - Homero,460. Juan Vázquez de Mella - Homero (0.0066)
48,194,0.006578947,in_deg_cent,2019,Circuito Mahatma Gandhi - Reforma,194. Circuito Mahatma Gandhi - Reforma (0.0066)
49,443,0.006578947,in_deg_cent,2019,Bruno Traven - Golondrinas,443. Bruno Traven - Golondrinas (0.0066)
50,449,0.006578947,in_deg_cent,2019,Acapulco - Puebla,449. Acapulco - Puebla (0.0066)
51,187,0.006578947,in_deg_cent,2019,General Cano - Gobernador Gregorio V. Gelati,187. General Cano - Gobernador Gregorio V. Gelati (0.0066)
52,186,0.006578947,in_deg_cent,2019,Gob. Gregorio V. Gelati - Gral. Francisco Molinos del Campo,186. Gob. Gregorio V. Gelati - Gral. Francisco Molinos del Campo (0.0066)
53,463,0.006578947,in_deg_cent,2019,Lago Andrómaco - Lago Zúrich,463. Lago Andrómaco - Lago Zúrich (0.0066)
54,465,0.006578947,in_deg_cent,2019,Lago Ginebra - Lago Wetter,465. Lago Ginebra - Lago Wetter (0.0066)
55,242,0.006578947,in_deg_cent,2019,Miguel de Cervantes Saavedra - Pról. Moliere,242. Miguel de Cervantes Saavedra - Pról. Moliere (0.0066)
56,212,0.006578947,in_deg_cent,2019,Hegel - Horacio,212. Hegel - Horacio (0.0066)
57,209,0.006578947,in_deg_cent,2019,Solón - Horacio,209. Solón - Horacio (0.0066)
58,211,0.006578947,in_deg_cent,2019,Isaac Newton - Horacio,211. Isaac Newton - Horacio (0.0066)
59,299,0.006578947,in_deg_cent,2019,Romero de Terreros - Mier y Pesado,299. Romero de Terreros - Mier y Pesado (0.0066)
60,359,0.006578947,in_deg_cent,2019,Matías Romero - Pestalozzi,359. Matías Romero - Pestalozzi (0.0066)
61,10,0.006578947,in_deg_cent,2019,Reforma - Ramírez,10. Reforma - Ramírez (0.0066)
62,464,0.006578947,in_deg_cent,2019,Mateo Alemán - Prolongación Moliere,464. Mateo Alemán - Prolongación Moliere (0.0066)
63,262,0.006578947,in_deg_cent,2019,República de Cuba - República de Brasil,262. República de Cuba - República de Brasil (0.0066)
64,357,0.006578947,in_deg_cent,2019,Matías Romero - Amores,357. Matías Romero - Amores (0.0066)
65,260,0.006578947,in_deg_cent,2019,Juárez - Balderas,260. Juárez - Balderas (0.0066)
66,108,0.006578947,in_deg_cent,2019,Tolsá - Balderas,108. Tolsá - Balderas (0.0066)
67,254,0.006578947,in_deg_cent,2019,Alfonso Herrera - Miguel Schultz,254. Alfonso Herrera - Miguel Schultz (0.0066)
68,363,0.006578947,in_deg_cent,2019,Holbein - Paulo Ucello,363. Holbein - Paulo Ucello (0.0066)
69,233,0.006578947,in_deg_cent,2019,Julio Verne - Luis G. Urbina,233. Julio Verne - Luis G. Urbina (0.0066)
70,366,0.006578947,in_deg_cent,2019,Porfirio Díaz - Augusto Rodin,366. Porfirio Díaz - Augusto Rodin (0.0066)
71,384,0.006578947,in_deg_cent,2019,Empresa - Poussin,384. Empresa - Poussin (0.0066)
72,389,0.006578947,in_deg_cent,2019,Santander - Félix Cuevas,389. Santander - Félix Cuevas (0.0066)
73,198,0.006578947,in_deg_cent,2019,Sócrates - Ejército Nacional,198. Sócrates - Ejército Nacional (0.0066)
74,396,0.006578947,in_deg_cent,2019,Martín Mendalde - Félix Cuevas,396. Martín Mendalde - Félix Cuevas (0.0066)
75,387,0.006578947,in_deg_cent,2019,Cádiz - Empresa,387. Cádiz - Empresa (0.0066)
76,305,0.006578947,in_deg_cent,2019,Avenida del Parque - Arizona,305. Avenida del Parque - Arizona (0.0066)
77,168,0.006578947,in_deg_cent,2019,Comercio - Progreso,168. Comercio - Progreso (0.0066)
78,20,0.006578947,in_deg_cent,2019,Reforma - Río Támesis,20. Reforma - Río Támesis (0.0066)
79,148,0.006578947,in_deg_cent,2019,Coahuila - Av. Cuauhtémoc,148. Coahuila - Av. Cuauhtémoc (0.0066)
80,41,0.006578947,in_deg_cent,2019,Reforma - De la República,41. Reforma - De la República (0.0066)
81,29,0.006578947,in_deg_cent,2019,Reforma - Bucareli,29. Reforma - Bucareli (0.0066)
