Rank,id,value,mesure,Year,Estación,nombre
0,206,0.032258065,in_deg_cent,2021,Moliere - Homero,206. Moliere - Homero (0.0323)
1,163,0.032258065,in_deg_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.0323)
2,197,0.032258065,in_deg_cent,2021,Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca,197. Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca (0.0323)
3,391,0.032258065,in_deg_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0323)
4,1,0.032258065,in_deg_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0323)
5,327,0.032258065,in_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.0323)
6,28,0.032258065,in_deg_cent,2021,Toledo - Tokio,28. Toledo - Tokio (0.0323)
7,26,0.032258065,in_deg_cent,2021,Reforma - Versalles,26. Reforma - Versalles (0.0323)
8,24,0.032258065,in_deg_cent,2021,Reforma - Varsovia,24. Reforma - Varsovia (0.0323)
9,7,0.032258065,in_deg_cent,2021,Río Elba - Río Lerma,7. Río Elba - Río Lerma (0.0323)
10,217,0.032258065,in_deg_cent,2021,Euler - Av. Horacio,217. Euler - Av. Horacio (0.0323)
11,113,0.032258065,in_deg_cent,2021,General Prim - Versalles,113. General Prim - Versalles (0.0323)
12,11,0.032258065,in_deg_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.0323)
13,463,0.032258065,in_deg_cent,2021,Lago Andrómaco - Lago Zúrich,463. Lago Andrómaco - Lago Zúrich (0.0323)
14,136,0.032258065,in_deg_cent,2021,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.0323)
15,142,0.032258065,in_deg_cent,2021,San Luis Potosí - Eje 2 Pte. Monterrey,142. San Luis Potosí - Eje 2 Pte. Monterrey (0.0323)
16,174,0.032258065,in_deg_cent,2021,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.0323)
17,149,0.032258065,in_deg_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.0323)
18,36,0.032258065,in_deg_cent,2021,Puebla - Veracruz,36. Puebla - Veracruz (0.0323)
19,165,0,in_deg_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.0)
20,111,0,in_deg_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.0)
21,465,0,in_deg_cent,2021,Lago Ginebra - Lago Wetter,465. Lago Ginebra - Lago Wetter (0.0)
22,135,0,in_deg_cent,2021,Álvaro Obregón - Morelia,135. Álvaro Obregón - Morelia (0.0)
23,35,0,in_deg_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.0)
24,272,0,in_deg_cent,2021,Jesús García - Carlos J. Meneses,272. Jesús García - Carlos J. Meneses (0.0)
25,146,0,in_deg_cent,2021,Coahuila - Manzanillo,146. Coahuila - Manzanillo (0.0)
26,208,0,in_deg_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.0)
27,151,0,in_deg_cent,2021,Campeche - Tonalá,151. Campeche - Tonalá (0.0)
28,271,0,in_deg_cent,2021,Jesús García - Carlos J. Meneses,271. Jesús García - Carlos J. Meneses (0.0)
29,154,0,in_deg_cent,2021,Tuxpan - Tlaxcala,154. Tuxpan - Tlaxcala (0.0)
30,211,0,in_deg_cent,2021,Isaac Newton - Horacio,211. Isaac Newton - Horacio (0.0)
31,107,0,in_deg_cent,2021,Tolsá - Balderas,107. Tolsá - Balderas (0.0)
0,271,0.096774194,out_deg_cent,2021,Jesús García - Carlos J. Meneses,271. Jesús García - Carlos J. Meneses (0.0968)
1,465,0.064516129,out_deg_cent,2021,Lago Ginebra - Lago Wetter,465. Lago Ginebra - Lago Wetter (0.0645)
2,107,0.032258065,out_deg_cent,2021,Tolsá - Balderas,107. Tolsá - Balderas (0.0323)
3,165,0.032258065,out_deg_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.0323)
4,272,0.032258065,out_deg_cent,2021,Jesús García - Carlos J. Meneses,272. Jesús García - Carlos J. Meneses (0.0323)
5,211,0.032258065,out_deg_cent,2021,Isaac Newton - Horacio,211. Isaac Newton - Horacio (0.0323)
6,208,0.032258065,out_deg_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.0323)
7,327,0.032258065,out_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.0323)
8,35,0.032258065,out_deg_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.0323)
9,154,0.032258065,out_deg_cent,2021,Tuxpan - Tlaxcala,154. Tuxpan - Tlaxcala (0.0323)
10,391,0.032258065,out_deg_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0323)
11,151,0.032258065,out_deg_cent,2021,Campeche - Tonalá,151. Campeche - Tonalá (0.0323)
12,146,0.032258065,out_deg_cent,2021,Coahuila - Manzanillo,146. Coahuila - Manzanillo (0.0323)
13,135,0.032258065,out_deg_cent,2021,Álvaro Obregón - Morelia,135. Álvaro Obregón - Morelia (0.0323)
14,174,0.032258065,out_deg_cent,2021,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.0323)
15,111,0.032258065,out_deg_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.0323)
16,24,0,out_deg_cent,2021,Reforma - Varsovia,24. Reforma - Varsovia (0.0)
17,1,0,out_deg_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0)
18,197,0,out_deg_cent,2021,Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca,197. Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca (0.0)
19,28,0,out_deg_cent,2021,Toledo - Tokio,28. Toledo - Tokio (0.0)
20,26,0,out_deg_cent,2021,Reforma - Versalles,26. Reforma - Versalles (0.0)
21,206,0,out_deg_cent,2021,Moliere - Homero,206. Moliere - Homero (0.0)
22,7,0,out_deg_cent,2021,Río Elba - Río Lerma,7. Río Elba - Río Lerma (0.0)
23,217,0,out_deg_cent,2021,Euler - Av. Horacio,217. Euler - Av. Horacio (0.0)
24,113,0,out_deg_cent,2021,General Prim - Versalles,113. General Prim - Versalles (0.0)
25,11,0,out_deg_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.0)
26,163,0,out_deg_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.0)
27,142,0,out_deg_cent,2021,San Luis Potosí - Eje 2 Pte. Monterrey,142. San Luis Potosí - Eje 2 Pte. Monterrey (0.0)
28,149,0,out_deg_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.0)
29,36,0,out_deg_cent,2021,Puebla - Veracruz,36. Puebla - Veracruz (0.0)
30,136,0,out_deg_cent,2021,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.0)
31,463,0,out_deg_cent,2021,Lago Andrómaco - Lago Zúrich,463. Lago Andrómaco - Lago Zúrich (0.0)
0,11,0.043010753,close_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.043)
1,206,0.032258065,close_cent,2021,Moliere - Homero,206. Moliere - Homero (0.0323)
2,163,0.032258065,close_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.0323)
3,197,0.032258065,close_cent,2021,Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca,197. Miguel de Cervantes Saavedra - Ferrocarril de Cuernavaca (0.0323)
4,1,0.032258065,close_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.0323)
5,28,0.032258065,close_cent,2021,Toledo - Tokio,28. Toledo - Tokio (0.0323)
