source,target,Viajes,Tiempo_Promedio
1,1,2151,1222.344026
1,10,528,565.8787879
1,103,736,574.8559783
1,107,377,786.1856764
1,11,1057,390.0435194
1,111,577,551.407279
1,12,725,384.0331034
1,121,439,555.6993166
1,14,869,617.0103567
1,141,439,854.0842825
1,15,980,516.4836735
1,16,911,487.7837541
1,17,474,459.3881857
1,174,2440,553.1557377
1,18,3591,370.4572542
1,183,911,506.5905598
1,19,414,425.4927536
1,2,973,348.9033916
1,21,381,527.7060367
1,23,759,513.1027668
1,24,786,523.0216285
1,25,893,418.4871221
1,254,461,662.9501085
1,255,395,479.2227848
1,266,1298,914.8736518
1,267,749,968.2136182
1,27,1778,414.8683915
1,270,388,1064.280928
1,271,1191,869.3929471
1,272,403,918.6799007
1,28,1200,603.4658333
1,30,1246,483.9751204
1,32,414,736.8043478
1,34,1236,580.1464401
1,35,2779,518.1874775
1,4,1262,415.9144216
1,41,500,870.54
1,43,469,996.0021322
1,45,386,878.9715026
2,1,816,376.2794118
2,14,437,435.6864989
2,16,826,412.2627119
2,2,1008,1142.862103
2,24,680,362.325
2,27,587,542.8330494
2,32,896,572.8046875
2,35,768,608.7083333
3,1,384,598.7369792
3,107,506,515.1403162
3,14,652,758.7254601
3,15,767,620.2112125
3,16,642,565.5311526
3,26,430,523.1581395
3,266,784,716.2895408
3,267,611,733.8870704
3,271,601,672.1613977
3,29,443,417.1512415
3,3,516,2050.899225
3,41,582,593.5927835
3,43,664,745.1400602
4,1,1099,391.9954504
4,103,411,739.7664234
4,18,398,400.1030151
4,27,375,545.24
4,32,768,409.2122396
4,4,756,947.8716931
5,1,1110,368.9414414
5,14,381,352.0734908
5,27,377,561.795756
5,271,495,963.4040404
5,32,803,493.7073474
5,34,479,613.3152401
5,35,753,571.6746348
5,36,481,653.6340956
6,1,1041,456.8712776
6,12,524,360.7156489
6,14,671,593.7138599
6,15,390,456.5666667
6,174,1250,571.316
6,266,572,976.6311189
6,267,402,998.3606965
6,27,547,399.8299817
6,271,556,845.8183453
6,34,586,462.9812287
6,35,1336,472.866018
6,4,674,271.2848665
7,1,868,599.3859447
7,11,460,571.9956522
