"Genero_Usuario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
"F","1",18,436,381.47247706422
"F","111",111,691,1574.86541244573
"F","111",174,375,412.341333333333
"F","139",139,683,1468.35578330893
"F","141",141,443,1260.87133182844
"F","145",145,374,1244.77005347594
"F","158",145,424,384.181603773585
"F","165",163,475,313.088421052632
"F","174",111,538,328.223048327138
"F","18",1,564,330.705673758865
"F","183",183,514,1614.39494163424
"F","206",208,371,518.673854447439
"F","208",206,381,602.141732283465
"F","254",254,482,1298.56846473029
"F","260",260,375,2162.62666666667
"F","27",27,712,1573.53511235955
"F","270",270,375,1328.824
"F","327",327,425,1828.25411764706
"F","34",34,607,1537.96210873147
"F","366",369,447,194.993288590604
"F","369",366,445,188.429213483146
"F","391",391,754,2888.57161803714
"F","4",4,488,1265.74385245902
"F","449",449,397,1698.75062972292
"M","1",1,1366,1417.26207906296
"M","1",4,659,432.884673748103
"M","1",5,574,398.278745644599
"M","1",9,453,360.896247240618
"M","1",11,396,450.010101010101
"M","1",12,521,358.094049904031
"M","1",14,606,592.249174917492
"M","1",18,919,456.372143634385
"M","1",27,833,454.833133253301
"M","1",28,385,642.935064935065
"M","1",30,367,611.950953678474
"M","1",34,559,563.745974955277
"M","1",35,964,475.014522821577
"M","1",86,589,455.164685908319
"M","1",99,778,769.134961439589
"M","1",121,372,620.064516129032
"M","1",174,789,569.253485424588
"M","1",266,438,923.648401826484
"M","1",271,503,828.192842942346
"M","10",10,367,1457.61307901907
"M","10",266,412,614.174757281553
"M","103",103,550,1557.24
"M","106",92,384,756.825520833333
"M","106",106,554,1555.75631768953
"M","107",113,1551,273.121856866538
"M","107",116,467,459.456102783726
"M","107",266,393,818.236641221374
"M","107",271,413,841.690072639225
"M","108",33,461,1305.82646420824
"M","108",108,592,1974.58783783784
"M","108",257,730,1084.95068493151
"M","108",260,401,1326.34663341646
"M","11",1,440,452.8
"M","11",11,770,1641.62207792208
"M","11",174,385,538.023376623377
"M","111",18,382,513.240837696335
"M","111",111,550,1445.96545454545
"M","111",174,1258,327.025437201908
"M","111",256,387,388.447028423773
"M","112",112,544,1250.95588235294
"M","112",119,371,492.805929919137
"M","113",107,1393,383.692031586504
"M","113",113,492,4401.01422764228
"M","113",119,578,346.86678200692
"M","116",116,789,1282.36375158428
"M","117",116,435,445.110344827586
"M","117",119,450,316.177777777778
"M","119",113,704,250.332386363636
"M","119",117,396,317.641414141414
"M","119",119,522,1602.48659003831
"M","119",120,384,284.963541666667
"M","12",1,500,449.376
"M","120",116,444,369.148648648649
"M","120",119,541,286.007393715342
"M","120",120,632,1272.01265822785
"M","123",123,737,1079.61872455902
"M","124",82,814,719.792383292383
"M","124",124,820,1380.47804878049
"M","125",125,673,1445.48736998514
"M","126",126,605,1567.7652892562
"M","126",134,410,404.148780487805
"M","126",136,588,366.920068027211
"M","126",141,366,513.587431693989
"M","127",127,473,1629.54968287526
"M","128",128,414,1547.88405797101
"M","129",129,588,868.31462585034
"M","131",133,526,314.688212927757
"M","133",131,370,358.783783783784
"M","133",133,667,1172.87256371814
"M","133",136,383,405.407310704961
"M","134",58,366,714.24043715847
"M","134",126,494,317.882591093117
"M","134",134,531,1458.26930320151
"M","135",135,732,1445.26092896175
"M","135",136,781,346.531370038412
"M","136",126,491,300.501018329939
"M","136",135,630,364.54126984127
"M","136",136,449,1286.81291759465
"M","137",137,644,1560.34627329193
"M","138",138,616,1295.63636363636
"M","139",33,409,1758.15403422983
"M","139",108,390,1311.31025641026
"M","139",139,1270,1947.42362204724
"M","139",155,372,906.39247311828
"M","139",257,414,1406.35507246377
"M","139",449,397,1429.24937027708
"M","14",271,416,1070.25
"M","141",126,469,410.255863539446
"M","141",141,812,1247.7881773399
"M","141",158,589,466.331069609508
"M","142",142,699,1136.25464949928
"M","143",143,389,1361.51156812339
"M","144",144,445,1547.83146067416
"M","145",126,366,435.169398907104
"M","145",145,678,1401.18584070796
"M","145",158,413,356.64406779661
"M","146",36,382,683.730366492147
"M","146",146,723,1277.29045643154
"M","149",145,390,492.851282051282
"M","15",15,451,1078.60088691796
"M","150",150,372,1461.16666666667
"M","151",140,424,444.573113207547
"M","151",149,376,414.279255319149
"M","151",151,760,1186.71315789474
"M","151",158,682,344.255131964809
"M","153",153,416,1039.40625
"M","154",146,660,257.3
"M","154",150,443,387.07223476298
"M","155",139,396,1146.41161616162
"M","155",155,1317,1804.45330296128
"M","158",141,884,402.794117647059
"M","158",145,460,411.763043478261
"M","158",151,750,408.076
"M","158",162,377,373.567639257294
"M","16",16,416,1034.28125
"M","160",160,702,1446.36182336182
"M","160",257,728,634.149725274725
"M","160",467,388,779.922680412371
"M","163",163,454,1554.04405286344
"M","163",165,461,282.216919739696
"M","164",163,371,490.318059299191
"M","164",164,778,1487.60154241645
"M","164",165,669,311.704035874439
"M","165",163,753,251.249667994688
"M","165",165,472,1690.66101694915
"M","167",286,655,369.651908396947
"M","168",182,402,295.144278606965
"M","169",169,804,1310.82213930348
"M","17",17,669,1503.31240657698
"M","171",171,370,1313.34864864865
"M","172",172,408,1305.49754901961
"M","174",1,1006,575.833001988072
"M","174",6,511,580.230919765166
"M","174",11,502,547.621513944223
"M","174",18,399,671.568922305764
"M","174",85,1089,429.572084481175
"M","174",111,1129,347.062001771479
"M","174",174,535,1537.80934579439
"M","174",183,1017,292.819075712881
"M","174",271,530,651.252830188679
"M","175",175,705,1929.42269503546
"M","175",327,394,1181.0152284264
"M","175",391,366,1372.66393442623
"M","18",1,1266,352.756714060032
"M","18",18,472,1084.29025423729
"M","18",174,370,634.840540540541
"M","180",180,408,1656.47303921569
"M","180",182,551,265.112522686025
"M","181",181,607,1402.57825370675
"M","182",84,527,317.628083491461
"M","182",171,414,453.376811594203
"M","182",180,376,246.954787234043
"M","182",182,956,1374.05543933054
"M","183",174,990,268.679797979798
"M","183",183,719,1435.70097357441
"M","183",256,408,355.870098039216
"M","184",185,366,259.478142076503
"M","185",184,414,236.200483091787
"M","185",185,400,1232.7425
"M","186",186,526,1757.80038022814
"M","186",187,376,332.377659574468
"M","187",187,424,1162.1391509434
"M","188",184,427,579.749414519906
"M","188",187,391,374.225063938619
"M","189",189,631,1532.27733755943
"M","190",175,445,887.901123595506
"M","190",190,600,1524.60166666667
"M","194",194,581,1713.11531841652
"M","197",208,568,745.639084507042
"M","197",465,400,559.8525
"M","2",1,380,447.363157894737
"M","2",2,677,1408.81536189069
"M","20",15,528,514.753787878788
"M","206",208,905,461.28729281768
"M","208",197,459,867.450980392157
"M","208",206,1159,522.246764452114
"M","208",209,456,585.831140350877
"M","208",215,366,407.008196721311
"M","208",217,523,353.615678776291
"M","208",242,1005,672.241791044776
"M","208",460,552,673.69384057971
"M","208",461,406,834.864532019704
"M","210",206,389,438.814910025707
"M","210",460,376,524.542553191489
"M","211",207,373,289.935656836461
"M","211",217,1078,251.481447124304
"M","211",246,525,335.977142857143
"M","211",452,463,424.336933045356
"M","217",208,429,356.703962703963
"M","217",211,622,273.202572347267
"M","217",212,416,308.697115384615
"M","217",217,674,1315.87388724036
"M","222",222,944,1740.77966101695
"M","222",241,473,1135.03171247357
"M","23",23,647,1397.18238021638
"M","23",27,444,459.502252252252
