source,target,Viajes,Tiempo_Promedio
1,1,2155,1223.936891
1,2,640,477.2015625
1,3,671,490.0789866
1,4,1696,423.9917453
1,5,1278,364.1353678
1,6,996,416.7590361
1,7,1013,681.9151037
1,9,2072,382.7379344
1,10,466,697.3454936
1,11,1290,353.1387597
1,12,890,352.8337079
1,14,1140,652.2578947
1,15,1263,576.3998416
1,16,788,495.0736041
1,17,759,496.1422925
1,18,4202,368.0069015
1,19,517,495.9555126
1,22,721,635.8460472
1,23,968,514.107438
1,24,872,467.712156
1,25,920,441.2108696
1,27,1752,459.2676941
1,28,1645,607.5015198
1,29,378,847.3730159
1,31,454,580.2114537
1,32,588,672.3911565
1,34,1335,631.9970037
1,35,3101,492.4185747
1,36,405,844.1728395
1,41,567,849.2186949
1,43,693,1013.225108
1,45,440,890.3022727
1,52,428,1092.060748
1,64,370,1044.059459
1,85,466,481.4699571
1,86,1728,417.6712963
1,96,430,1138.027907
1,99,1972,762.7570994
1,103,783,570.0651341
1,107,802,747.223192
1,111,499,633.9238477
1,113,454,593.9295154
1,116,430,683.7651163
1,117,373,629.6621984
1,121,715,549.9062937
1,126,368,614.7826087
1,134,572,789.4265734
1,174,2603,544.5889358
1,183,732,534.9672131
1,217,468,898.4230769
1,254,417,600.0359712
1,261,410,649.3560976
1,266,1335,934.1700375
1,267,681,936.1174743
1,271,1294,882.1545595
1,272,555,948.1693694
2,1,609,449.5665025
2,2,1075,1120.287442
2,9,1278,238.8622848
2,14,514,441.6984436
2,15,543,342.9705341
2,16,821,334.5200974
2,18,399,647.2631579
2,24,625,417.3296
2,27,495,620.6626263
2,32,897,496.6187291
2,35,868,562.0564516
2,86,370,602.2432432
3,1,422,598.443128
3,3,575,1614.373913
3,7,654,690.8302752
3,14,1000,703.532
3,15,866,569.5623557
3,16,648,696.3580247
3,17,606,493.460396
3,18,416,445.6923077
3,23,368,644.8016304
3,29,491,626.4806517
3,41,592,678.5726351
3,43,893,737.1634938
3,52,497,833.5955734
3,65,430,913.244186
3,87,413,901.5569007
3,96,631,791.7971474
3,107,647,560.1190108
3,112,407,483.6191646
3,113,378,829.4391534
3,266,1026,759.1354776
3,267,703,691.0953058
3,271,1223,648.1578087
3,272,523,579.5487572
3,274,400,573.7325
4,1,1616,401.1107673
4,4,781,1036.864277
4,6,372,383.4274194
4,18,654,469.733945
4,27,504,558.2956349
4,32,1187,339.725358
4,34,401,508.3715711
4,59,483,654.5465839
4,111,412,578.3179612
4,174,381,774.8792651
4,254,440,766.6409091
4,266,374,1152.184492
4,271,427,1089.163934
5,1,1233,358.1435523
5,5,551,1030.119782
5,7,666,397.5660661
5,14,612,436.0539216
5,27,482,473.5103734
5,32,780,487.6333333
5,35,441,564.2562358
5,36,489,640.6768916
5,183,384,554.3255208
5,271,545,980.559633
6,1,1354,398.2274742
6,4,817,276.9351285
6,6,1209,1202.128205
6,7,425,549.9317647
6,9,371,498.6603774
6,12,448,353.6674107
6,14,436,531.1788991
6,18,447,653.3310962
6,27,670,431.9313433
6,34,598,485.8394649
6,35,1263,429.2810768
6,86,705,431.2751773
