"Horario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
2,1,9,394,313.314720812183
2,1,18,1138,303.757469244288
2,1,28,411,597.206812652068
2,1,35,908,439.06718061674
2,1,86,376,340.460106382979
2,3,14,415,567.686746987952
2,7,7,373,1056.43163538874
2,18,1,612,307.727124183007
2,20,14,533,533.613508442777
2,20,15,500,462.502
2,20,16,474,384.677215189873
2,20,23,395,462.392405063291
2,28,239,487,503.663244353183
2,32,4,570,416.833333333333
2,32,9,474,370.888185654008
2,32,16,466,261.830472103004
2,34,1,805,461.659627329193
2,35,1,637,444.065934065934
2,35,17,405,285.725925925926
2,35,24,484,305.809917355372
2,35,25,366,247.691256830601
2,36,45,589,240.521222410866
2,41,3,473,361.173361522199
2,41,15,371,785.983827493261
2,41,17,385,634.867532467532
2,41,18,531,580.80790960452
2,41,19,997,523.08926780341
2,41,20,866,425.654734411085
2,43,18,376,774.582446808511
2,53,36,511,268.780821917808
2,60,36,487,278.078028747433
2,71,84,372,201.658602150538
2,84,54,366,347.502732240437
2,84,63,550,302.86
2,86,7,447,618.080536912752
2,86,14,651,582.620583717358
2,86,15,661,472.606656580938
2,86,16,572,417.781468531469
2,86,23,673,477.462109955424
2,103,149,402,987.02736318408
2,107,113,1795,277.373816155989
2,107,116,387,293.449612403101
2,111,18,458,471.115720524017
2,111,174,992,233.875
2,113,107,471,285.993630573248
2,116,107,454,278.092511013216
2,116,117,431,196.893271461717
2,119,113,959,196.923879040667
2,119,115,395,290.518987341772
2,126,136,432,269.375
2,135,136,374,324.128342245989
2,137,136,369,225.140921409214
2,141,126,469,272.667377398721
2,141,158,450,352.726666666667
2,145,148,402,235.101990049751
2,145,158,468,311.309829059829
2,146,36,606,590.300330033003
2,148,141,677,277.908419497784
2,150,36,737,597.689280868385
2,151,158,612,332.096405228758
2,158,141,538,393.563197026022
2,158,151,518,511.571428571429
2,165,163,1052,161.852661596958
2,166,182,406,434.92118226601
2,167,182,401,349.374064837905
2,167,286,647,330.853168469861
2,167,305,411,407.924574209246
2,168,182,673,208.54234769688
2,169,182,443,137.781038374718
2,171,185,467,445.436830835118
2,173,36,371,639.595687331536
2,173,170,415,340.898795180723
2,174,1,709,456.451339915374
2,174,6,548,471.226277372263
2,174,18,566,584.422261484099
2,174,111,460,252.971739130435
2,174,183,391,206.797953964194
2,179,63,437,353.20823798627
2,182,180,419,191.391408114558
2,183,18,462,455.744588744589
2,183,174,683,198.076134699854
2,184,185,399,198.280701754386
2,185,184,554,172.115523465704
2,187,185,382,166.05497382199
2,189,185,624,263.073717948718
2,192,227,379,611.089709762533
2,193,239,498,379.5140562249
2,194,226,413,353.922518159806
2,195,192,447,258.474272930649
2,197,219,481,406.528066528067
2,204,198,426,452.00234741784
2,204,202,782,257.826086956522
2,204,206,419,362.634844868735
2,204,209,375,564.048
2,204,242,951,473.099894847529
2,204,460,425,603.534117647059
2,208,197,507,760.34516765286
2,208,198,397,566.11838790932
2,208,206,824,481.703883495146
2,208,209,806,659.913151364764
2,208,215,684,432.625730994152
2,208,240,414,752.685990338164
2,208,242,1065,589.708920187793
2,208,452,439,446.567198177677
2,208,460,513,691.539961013645
2,210,197,413,589.648910411622
2,210,206,453,340.176600441501
2,210,209,842,441.287410926366
2,210,242,682,509.208211143695
2,211,197,380,829.618421052632
2,211,205,408,200.247549019608
2,211,207,393,288.371501272265
2,211,209,474,639.778481012658
2,211,217,1866,222.154340836013
2,211,226,634,446.029968454259
2,211,239,417,340.251798561151
2,211,248,461,431.110629067245
2,211,452,1088,408.927389705882
2,212,217,398,214.535175879397
2,219,197,368,318.557065217391
2,223,221,497,443.760563380282
2,228,227,536,330.888059701493
2,237,227,399,527.250626566416
2,237,235,451,370.037694013304
2,237,236,625,348.6128
2,242,235,853,434.771395076202
2,256,41,578,384.574394463668
2,257,449,369,696.192411924119
2,266,1,511,896.489236790607
2,266,6,385,800.844155844156
2,266,10,496,447.58064516129
2,266,14,579,933.433506044905
2,266,15,624,908.104166666667
2,266,16,683,898.326500732064
2,266,17,820,805.346341463415
2,266,18,803,737.719800747198
2,266,19,676,699.100591715976
2,266,23,551,979.141560798548
2,266,27,560,704.553571428571
2,266,28,530,1025.44905660377
2,266,270,421,298.030878859857
2,267,14,372,962.013440860215
2,267,15,419,930.36754176611
2,267,16,519,881.208092485549
2,267,17,631,800.091917591125
2,267,18,566,729.798586572438
2,267,19,371,677.045822102426
2,271,1,829,829.984318455971
2,271,3,585,522.591452991453
2,271,7,688,969.186046511628
2,271,10,1267,390.460142067877
2,271,13,403,977.980148883375
2,271,14,1314,977.363774733638
2,271,15,1222,904.703764320786
2,271,16,1177,863.308411214953
2,271,17,1557,796.386640976236
2,271,18,1224,743.983660130719
2,271,19,1236,687.7071197411
2,271,20,442,613.389140271493
2,271,23,745,947.648322147651
2,271,24,407,912.206388206388
2,271,26,1534,404.621903520209
2,271,27,756,693.619047619048
2,271,28,450,998.013333333333
2,271,32,366,1034.37978142077
2,271,41,464,403.163793103448
2,271,85,562,582.072953736655
2,271,111,392,723.719387755102
2,271,113,731,482.487004103967
2,271,117,398,683.942211055276
2,271,250,378,1179.28306878307
2,271,261,591,977.507614213198
2,271,270,948,280.037974683544
2,271,476,384,1373.984375
2,272,10,565,396.796460176991
2,272,14,795,980.091823899371
2,272,15,651,911.692780337942
2,272,16,736,845.551630434783
2,272,17,790,798.741772151899
2,272,18,595,741.643697478992
2,272,19,675,679.244444444444
2,272,27,380,695.144736842105
2,272,28,583,964.104631217839
2,272,270,468,264.26282051282
2,277,295,380,275.594736842105
2,286,167,369,239.308943089431
2,319,302,477,359.763102725367
2,320,295,641,244.606864274571
2,328,305,409,483.762836185819
2,329,326,934,412.98608137045
2,348,305,384,388.768229166667
2,350,352,389,257.020565552699
2,352,354,374,382.157754010695
2,359,357,447,242.897091722595
2,366,369,430,159.432558139535
2,369,363,720,317.6
2,390,420,443,166.343115124153
2,394,336,471,452.753715498938
2,394,356,420,357.647619047619
2,402,431,381,437.212598425197
2,428,402,620,291.190322580645
2,432,440,374,283.553475935829
2,439,436,384,279.526041666667
2,440,432,593,274.763912310287
2,444,402,466,405.12017167382
2,444,440,370,414.797297297297
2,447,38,371,265.676549865229
2,464,222,388,572.948453608247
2,465,463,725,398.154482758621
3,1,1,1332,1252.77252252252
3,1,3,482,492.711618257261
3,1,4,865,451.668208092486
3,1,5,709,386.980253878702
3,1,6,537,475.113594040968
3,1,7,575,710.68347826087
3,1,9,1242,363.039452495974
3,1,11,656,378.336890243902
3,1,12,539,384.369202226345
3,1,14,618,637.669902912621
3,1,15,648,577.561728395062
3,1,16,468,481.316239316239
3,1,17,421,455.748218527316
3,1,18,2019,396.675581971273
3,1,22,409,563.520782396088
3,1,23,725,501.314482758621
3,1,24,445,495.262921348315
3,1,25,515,448.207766990291
3,1,27,970,461.378350515464
3,1,28,1035,607.215458937198
3,1,34,636,602.092767295597
3,1,35,1242,515.877616747182
3,1,86,822,411.33698296837
3,1,99,1784,747.968049327354
3,1,113,392,579.540816326531
3,1,121,394,565.337563451777
3,1,174,1180,544.104237288136
3,1,271,433,875.764434180139
3,2,2,707,1154.12588401697
3,2,9,784,234.117346938776
3,2,24,401,469.413965087282
3,2,32,494,508.613360323887
3,3,14,382,779.670157068063
3,3,15,427,580.644028103045
3,3,43,523,768.244741873805
3,4,1,777,410.06435006435
3,4,4,418,1132.70813397129
3,4,32,527,344.351043643264
3,5,1,771,375.859922178988
3,5,5,380,1070.41315789474
3,6,1,789,448.480354879594
3,6,4,377,290.647214854111
3,6,6,766,1219.57832898172
3,6,27,387,443.917312661499
3,6,35,753,438.065073041169
3,7,1,647,615.340030911901
3,7,7,2339,1353.24198375374
3,7,8,375,845.696
3,7,9,465,433.169892473118
3,7,11,454,547.213656387665
3,7,18,402,624.925373134328
3,7,24,600,438.876666666667
3,7,27,510,655.111764705882
3,7,28,393,392.651399491094
3,7,115,420,835.002380952381
3,8,7,526,835.87072243346
3,8,8,408,1621.42892156863
3,8,26,391,375.884910485934
3,8,29,585,407.998290598291
3,8,43,662,753.268882175227
3,9,1,614,422.762214983713
3,9,2,426,411.157276995305
3,9,9,433,1147.66050808314
3,10,10,560,1091.04642857143
3,10,11,397,539.609571788413
3,10,14,373,861.495978552279
3,10,15,529,717.820415879017
3,10,16,387,734.764857881137
3,10,17,429,646.951048951049
3,10,18,510,557.313725490196
3,10,19,655,505.622900763359
3,10,20,474,406.685654008439
3,10,27,534,557.174157303371
3,10,99,430,490.106976744186
3,10,107,371,462.153638814016
3,10,119,463,413.879049676026
3,10,266,478,601.468619246862
3,11,1,815,385.662576687117
3,11,7,487,634.205338809035
3,11,11,729,1370.58436213992
3,11,14,386,610.735751295337
3,11,15,463,521.444924406048
3,11,28,561,574.875222816399
3,11,99,642,703.422118380062
3,11,174,634,498.68927444795
3,12,1,371,530.353099730458
3,12,6,428,388.214953271028
3,12,12,425,1206.38588235294
3,12,17,403,493.538461538462
3,12,18,366,355.456284153005
3,14,1,392,658.788265306122
3,14,14,661,2542.258698941
3,14,16,382,515.497382198953
3,14,18,1198,509.95325542571
3,14,19,417,715.73860911271
3,14,24,482,429.265560165975
3,14,25,518,510.447876447876
3,14,27,1148,612.80574912892
3,14,31,403,631.151364764268
3,14,86,368,735.345108695652
3,14,124,402,1152.15174129353
3,14,217,571,712.019264448336
3,14,271,390,1018.14358974359
3,15,1,387,581.206718346253
3,15,15,497,1250.07645875252
3,15,18,611,511.621931260229
3,15,27,941,531.434643995749
3,15,194,372,697.731182795699
3,16,1,504,480.918650793651
3,16,7,440,448.488636363636
3,16,14,656,563.010670731707
3,16,16,870,1318.2275862069
3,16,27,525,598.902857142857
3,16,194,488,826.930327868852
3,16,253,735,455.621768707483
3,17,1,557,413.886894075404
3,17,12,412,405.509708737864
3,17,14,550,400.021818181818
3,17,27,595,468.233613445378
3,17,35,466,368.697424892704
3,18,1,2279,374.183413777973
3,18,7,502,505.693227091633
3,18,14,1611,475.710117939168
3,18,15,963,397.704049844237
3,18,16,379,518.902374670185
3,18,18,1123,1231.16651825467
3,18,23,565,474.035398230089
3,18,28,633,489.030015797788
3,18,43,415,1241.37590361446
3,18,134,453,594.737306843267
3,18,194,547,860.00365630713
3,18,254,370,661.072972972973
3,19,1,512,469.11328125
3,19,7,482,553.636929460581
3,19,14,1069,620.262862488307
3,19,15,858,509.255244755245
3,19,16,429,490.899766899767
3,19,17,432,396.303240740741
3,19,19,503,1362.27634194831
3,19,23,407,564.894348894349
3,19,43,400,1058.195
3,20,7,523,620.349904397706
3,20,14,822,732.98296836983
3,20,15,846,549.617021276596
3,20,16,624,590.014423076923
3,20,17,588,391.709183673469
3,20,18,572,428.013986013986
3,20,20,821,1330.52862362972
3,20,23,391,639.488491048593
3,20,24,389,630.488431876607
3,20,43,399,921.789473684211
3,20,52,414,893.408212560386
3,21,27,748,522.719251336898
3,22,27,640,574.5921875
3,23,1,556,620.665467625899
3,23,18,575,499.841739130435
3,23,20,367,637.403269754768
3,23,23,638,1338.85109717868
3,23,25,382,552.015706806283
3,23,27,1534,467.01368970013
3,23,29,443,828.345372460497
3,23,43,435,1239.27126436782
3,23,266,497,1064.09054325956
3,23,271,419,1006.77326968974
3,24,1,582,491.245704467354
3,24,2,401,405.563591022444
3,24,7,550,540.558181818182
3,24,24,501,1523.67265469062
3,24,27,1067,412.984067478913
3,24,43,710,1069.18309859155
3,25,1,703,429.018492176387
3,25,14,386,606.126943005181
3,25,25,677,1314.0576070901
3,25,27,745,522.565100671141
3,25,41,421,1025.52731591449
3,25,43,584,1140.65582191781
3,26,19,420,492.154761904762
3,26,26,518,1646.17567567568
3,26,29,428,394.429906542056
3,26,43,910,689.569230769231
3,26,52,375,782.597333333333
3,26,96,958,650.017745302714
3,26,119,458,419.849344978166
3,26,266,473,640.167019027484
3,26,270,430,475.895348837209
3,26,271,458,584.259825327511
3,27,1,1169,448.159110350727
3,27,6,396,421.661616161616
3,27,7,518,629.299227799228
3,27,10,534,614.794007490637
3,27,14,925,713.941621621622
3,27,15,993,526.836858006042
3,27,16,504,689.007936507937
3,27,17,618,487.040453074434
3,27,23,733,613.225102319236
3,27,25,461,914.956616052061
3,27,26,616,551.162337662338
3,27,27,1322,1813.2980332829
3,27,28,491,789.896130346232
3,27,29,850,698.971764705882
3,27,41,654,1375.69113149847
3,27,43,1383,1039.80694143167
3,27,52,585,1278.10427350427
3,27,96,527,1024.83870967742
3,27,112,372,556.572580645161
3,27,113,411,441.961070559611
3,27,116,433,448.099307159353
3,27,174,411,727.245742092457
3,27,266,487,934.490759753593
3,27,270,419,878.579952267303
3,27,271,421,931.532066508314
3,28,1,1166,595.736706689537
3,28,11,765,591.76862745098
3,28,18,701,452.554921540656
3,28,27,1013,496.805528134255
3,28,28,779,1299.5917843389
3,28,31,399,608.563909774436
3,28,217,381,724.874015748032
3,29,18,366,727.781420765027
3,29,19,371,658.827493261456
3,29,20,406,611.916256157635
3,31,28,529,507.5595463138
3,32,2,659,463.564491654021
3,32,4,616,387.00974025974
3,32,9,653,415.136294027565
3,32,16,536,388.59328358209
3,32,32,393,1158.26208651399
3,33,33,952,1516.28676470588
3,33,260,405,1201.62962962963
3,33,449,375,775.565333333333
3,34,1,1064,574.088345864662
3,34,5,472,463.610169491525
3,34,17,390,385.658974358974
3,34,24,392,389.045918367347
3,34,34,371,1309.60916442049
3,35,1,1025,545.870243902439
3,35,5,500,505.732
3,35,17,410,403.353658536585
3,35,20,436,412.470183486239
3,36,36,553,1216.08860759494
3,36,46,443,350.52144469526
3,36,47,413,515.958837772397
3,36,50,547,265.744058500914
3,36,53,861,336.480836236934
3,36,57,1010,270.112871287129
3,36,58,490,402.532653061224
3,36,60,651,338.162826420891
3,36,62,618,404.84142394822
3,36,63,503,393.870775347913
3,36,64,639,501.848200312989
3,36,68,387,498.240310077519
3,36,72,530,451.728301886792
3,36,73,380,476.328947368421
3,36,74,489,472.042944785276
3,37,37,643,1067.70139968896
3,37,64,434,476.241935483871
3,38,27,374,665.216577540107
3,38,38,691,1007.32850940666
3,38,45,500,665.456
3,38,54,638,351.412225705329
3,38,59,401,467.817955112219
3,38,61,833,409.015606242497
3,38,64,471,534.71974522293
3,39,39,450,1137.27777777778
3,39,51,439,303.883826879271
3,40,40,392,1104.90816326531
3,40,46,442,346.350678733032
3,40,47,763,292.205766710354
3,40,51,646,329.685758513932
3,40,56,562,372.46975088968
3,41,3,824,497.558252427184
3,41,10,751,362.155792276964
3,41,14,453,1162.39514348786
3,41,15,396,965.373737373737
3,41,16,416,951.713942307692
3,41,17,416,822.564903846154
3,41,18,661,747.28139183056
3,41,19,759,657.010540184453
3,41,20,927,534.203883495146
3,41,26,419,388.622911694511
3,41,27,550,798.352727272727
3,41,41,666,1726.90990990991
3,41,256,372,429.564516129032
3,41,266,513,534.01559454191
3,43,3,593,671.445193929174
3,43,10,397,606.959697732997
3,43,18,538,903.470260223048
3,43,19,538,848.293680297398
3,43,20,443,805.503386004515
3,43,27,410,960.8
3,43,43,817,1589.06487148103
3,43,52,658,580.238601823708
3,43,55,932,555.001072961373
3,43,87,683,621.524158125915
3,43,88,660,599.136363636364
3,43,89,427,807.409836065574
3,43,90,609,1014.37438423645
3,43,92,524,760.18893129771
3,43,96,517,567.653771760155
3,43,124,570,687.371929824561
3,43,266,476,705.487394957983
