source,target,Viajes,Tiempo_Promedio
16,271,575,998.5180417
19,271,510,834.1387725
30,30,480,1341.40125
1,1,946,20733992.41
1,103,437,7652506.641
1,11,452,6001285.845
1,14,446,8346858.332
1,174,1142,7789361.847
1,18,1493,3382086.181
1,183,388,5531315.474
1,254,391,8715702.836
1,27,830,6459475.699
1,271,458,11708137.4
1,30,431,12729230.36
1,34,471,8305631.996
1,35,1124,8249440.303
1,4,938,10419865.53
10,1,451,10772325.19
103,103,499,17694814.47
103,111,381,6622775.425
103,18,481,7868664.817
106,106,407,18435232.27
107,113,887,6256468.914
107,115,386,9479366.062
107,116,445,6237751.847
107,124,460,6582792.578
11,1,575,4280390.871
11,11,534,21024373.16
11,174,689,7142125.72
111,111,1017,17054360.08
111,174,2190,4408586.158
111,18,612,6802054.729
111,19,377,7865008.56
111,254,820,4923977.708
111,256,690,5484492.431
111,27,410,5234043.154
111,271,707,5265501.312
112,112,527,16872005.27
113,107,828,4574800.357
113,113,498,17853709.56
115,115,1649,20311511.97
115,271,402,10986290.5
115,271,377,6523981.952
115,29,394,9925925.208
116,107,376,5705485.997
116,116,971,17404255.54
117,117,478,14913045.7
118,118,374,11972610.58
119,112,400,3944584.771
119,113,549,3562521.76
119,119,450,16818896.07
120,120,517,14272601.09
121,121,486,12716484.83
123,123,699,13537108.76
124,107,462,6009072.669
124,124,866,8594258.574
125,125,1201,22315876.1
125,128,392,9009106.2
125,40,499,9982544.673
126,134,559,6883268.011
126,141,545,7176222.075
127,127,367,14611477.44
128,128,1019,17697732.96
129,129,481,16389133.69
13,13,393,4654496.066
130,130,480,6045259.04
131,131,416,15466483.5
132,132,413,17557144.98
133,133,1355,11916471.69
133,136,617,7053290.827
134,126,368,5141604.856
134,134,480,14453154.72
135,135,644,14984360.88
135,136,1058,6439522.734
135,141,369,8204211.23
136,133,470,5504412.866
136,135,1087,5515067.484
136,136,891,18333890.05
136,38,374,9275690.337
137,137,600,17137089.03
138,138,472,17773837.01
138,148,375,3365634.123
139,139,1101,19365671.39
14,1,376,7890117.053
14,14,468,13747060.77
14,27,423,12526932.28
14,271,460,16457932
140,140,412,16073002.97
141,126,568,5998390.83
141,141,1321,14512503.83
141,148,413,6259503.053
141,149,443,6548737.799
141,158,1025,5849835.324
142,142,641,15840288.68
144,141,412,5512249.13
144,144,454,19026451.17
145,145,769,11810623.38
145,149,493,2434358.688
145,158,637,3961616.358
146,145,428,6634473.584
146,146,1039,13111664.58
147,147,483,15668390.41
148,140,405,5137991.319
149,133,377,8366039.891
149,140,413,2600007.763
149,141,460,3979673
149,145,416,6670085.579
149,146,588,6545323.896
149,149,556,14522314.48
149,151,597,6022025.434
150,150,462,14743695.57
151,146,429,6764285.846
151,149,1011,4802611.264
151,151,658,19170865.68
151,158,934,3987147.289
152,152,539,9478735.272
154,142,427,7976520.85
154,154,688,12928670.8
155,155,445,18852327.6
156,158,371,3063372.596
158,141,1102,5896619.19
158,145,875,4470540.905
158,151,969,5729803.387
158,153,379,15808269.83
158,156,461,4248658.189
158,158,407,12552721.87
158,162,382,6438104.186
16,16,1213,13100066.76
16,29,393,21340275
160,160,442,16269787.72
160,257,588,9868651.556
161,161,454,15698357.71
162,163,464,5437360.688
163,162,668,3871932.219
163,163,432,18539144.85
163,164,431,6881572.654
163,165,658,3741210.746
163,277,395,4312360.757
164,153,368,5658738.492
164,163,633,5681959.711
164,164,618,19797038.52
164,165,572,4301767.941
165,163,950,2723391.472
165,165,561,12366087.06
166,167,618,2654959.9
167,166,397,3655896.535
167,167,406,16313000.95
167,286,769,6317193.572
167,310,373,9979986.981
168,182,376,4533066.064
169,169,460,16452441.46
17,17,506,11593013.57
17,35,558,5200070.111
170,170,373,12345049.91
171,170,493,5247552.189
172,172,426,15991323.15
173,167,438,5039991.89
174,1,1213,11541266.71
174,11,493,5762410.844
174,111,1897,5055480.081
174,174,605,15846701.6
174,18,577,7216759.109
174,183,1755,5138826.006
174,271,467,8917143.124
175,175,545,15163050.63
18,1,1489,5593918.534
18,14,427,10486803.97
18,15,407,8212533.069
18,18,582,14956317.27
18,271,496,13353561.57
180,180,525,16698146.76
180,303,486,11676885.65
181,181,408,15303302.43
182,171,428,5897431.713
182,182,535,15915057.21
183,174,1747,3142707.315
183,18,756,9509991.765
183,183,541,16557986.12
183,254,437,4619582.51
183,256,488,4525148.08
183,27,453,5431786.488
183,41,382,7110115.725
185,185,450,16816963.99
185,187,500,3535513.238
187,185,401,2832258.132
187,187,400,17659674.93
189,185,382,3634685.565
19,1,383,4943027.368
19,111,432,10220552.71
19,16,529,9895692.903
19,19,613,26329379.11
19,22,435,17973056.63
19,261,506,12834379.93
19,271,395,18200997.84
19,29,546,12592084.38
190,190,416,18041168.41
194,194,666,16951722.33
194,205,483,10969465.51
195,195,649,16810979.5
197,208,666,12219849.89
197,465,668,8407337.513
197,466,431,5859857.063
198,208,585,8736417.503
2,16,406,4506975.525
20,15,381,6787691.155
20,17,390,7925293.703
20,20,379,16807915.89
202,208,402,5653462.664
204,199,426,3553557.513
204,460,425,10684103.45
205,194,439,4456842.681
206,204,492,5131849.463
206,208,798,7746832.293
206,210,374,3376556.602
206,217,398,9826787.769
208,197,547,11532821.17
208,206,833,10828560.17
208,209,589,9637628.868
208,217,427,7534131.431
208,242,1062,10452998.59
208,460,376,15599920.35
208,476,403,11740142.39
209,208,671,6959391.939
210,206,386,5884335.756
210,242,415,7749908.19
211,217,916,4820859.285
211,246,502,6157878.408
211,452,638,7119078.044
212,207,386,2779011.364
212,212,418,13424040.04
215,208,414,6097866.981
217,208,540,5256028.372
217,211,583,3788524.763
217,217,434,15696216.41
218,218,538,22513196.96
22,19,440,13044986.7
22,22,497,25242904.49
22,29,447,23981558.12
221,242,382,7595583.73
222,222,724,16724367.25
228,227,384,9854403.859
23,27,542,8844744.271
232,232,464,12509480.1
233,233,383,16798753.03
24,1,371,7310611.704
24,27,490,6951984.451
24,271,471,15805842.15
241,241,388,23568926.51
241,467,375,12611264.02
242,208,931,8742509.329
242,210,391,3877383.716
242,242,424,10710464.18
242,465,547,4848984.289
242,476,541,10028154.88
246,211,501,4913567.393
25,25,1098,13153235.33
25,29,498,16460579.32
254,1,400,7101993.575
254,111,655,6258078.084
254,183,397,7148084.957
254,254,831,18137888.98
254,271,410,3539406.191
255,111,472,5744870.361
255,174,566,2675257.938
