"Genero_Usuario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
"F",1,4,622,408.726688102894
"F",1,7,387,706.038759689922
"F",1,9,636,382.761006289308
"F",1,18,1333,369.495873968492
"F",1,27,403,507.024813895782
"F",1,35,585,508.032478632479
"F",1,86,457,461.700218818381
"F",1,174,599,591.400667779633
"F",4,1,529,390.315689981096
"F",6,35,517,429.487427466151
"F",9,1,392,424.448979591837
"F",11,1,392,397.604591836735
"F",11,174,374,504.871657754011
"F",14,27,537,632.532588454376
"F",15,20,402,635.584577114428
"F",15,27,574,478.947735191638
"F",16,16,377,1561.15384615385
"F",18,1,1376,343.39898255814
"F",18,14,487,547.361396303901
"F",18,15,465,438.92688172043
"F",18,118,367,429.130790190736
"F",19,15,464,509.344827586207
"F",20,15,461,587.553145336226
"F",21,27,564,485.838652482269
"F",22,27,403,609.51364764268
"F",23,27,638,477.700626959248
"F",24,27,422,454.300947867299
"F",24,43,390,1080.19487179487
"F",24,266,430,1099.04186046512
"F",26,43,419,608.594272076372
"F",26,96,615,625.977235772358
"F",27,1,622,478.971061093248
"F",27,15,382,597.384816753927
"F",27,27,458,1072.34716157205
"F",27,28,415,806.074698795181
"F",27,41,414,887.024154589372
"F",27,43,656,913.914634146341
"F",27,266,378,951.767195767196
"F",28,1,440,675.643181818182
"F",28,266,379,1187.7598944591
"F",32,9,479,393.405010438413
"F",34,1,451,612.490022172949
"F",35,1,460,553.15
"F",36,45,437,260.787185354691
"F",36,53,720,342.066666666667
"F",36,64,454,554.215859030837
"F",36,66,469,413.189765458422
"F",36,72,480,451.204166666667
"F",36,74,524,502.31679389313
"F",38,36,377,260.10875331565
"F",41,19,511,657.093933463796
"F",41,20,710,514.840845070423
"F",43,17,389,982.946015424165
"F",43,43,384,1324.4921875
"F",45,45,429,1066.00466200466
"F",47,36,402,548.624378109453
"F",49,64,368,562.785326086957
"F",50,84,369,531.032520325203
"F",53,36,768,369.22265625
"F",53,64,407,645.299754299754
"F",54,36,444,333.576576576577
"F",54,64,488,338.331967213115
"F",54,182,393,636.190839694656
"F",58,64,442,368.506787330317
"F",61,38,405,368.108641975309
"F",61,61,467,1197.78586723769
"F",63,84,493,417.348884381339
"F",64,36,420,520.328571428571
"F",64,38,497,539.022132796781
"F",64,49,390,507.938461538462
"F",64,54,545,277.122935779816
"F",64,58,394,416.718274111675
"F",67,67,426,1434.07981220657
"F",71,66,418,392.966507177034
"F",72,49,619,375.211631663974
"F",73,36,404,499.628712871287
"F",73,59,447,408.532438478747
"F",73,77,578,254.38062283737
"F",77,67,371,410.644204851752
"F",77,68,532,282.59962406015
"F",77,73,521,255.875239923225
"F",84,54,379,572.572559366755
"F",84,59,391,482.06905370844
"F",84,61,397,400.340050377834
"F",84,63,901,335.134295227525
"F",84,64,391,363.734015345269
"F",85,174,1025,361.971707317073
"F",85,254,396,347.207070707071
"F",86,23,430,489.383720930233
"F",96,26,527,581.576850094877
"F",107,113,763,318.916120576671
"F",107,116,411,386.121654501217
"F",111,18,481,601.426195426195
"F",111,174,538,299.42750929368
"F",111,256,392,471.428571428571
"F",116,117,535,247.370093457944
"F",117,116,569,242.762741652021
"F",124,123,407,258.341523341523
"F",126,134,520,336.330769230769
"F",126,141,608,498.585526315789
"F",129,130,446,289.183856502242
"F",134,126,576,264.296875
"F",134,134,390,987.758974358974
"F",135,134,471,347.92144373673
"F",135,136,743,429.718707940781
"F",136,135,654,429.18501529052
"F",136,137,440,327.511363636364
"F",137,136,368,449.790760869565
"F",139,139,395,1528.8582278481
"F",139,155,481,464.966735966736
"F",141,126,707,354.055162659123
"F",141,141,414,1180.74154589372
"F",141,158,875,439.014857142857
"F",142,143,375,469.581333333333
"F",145,148,457,409.64113785558
"F",145,158,726,365.659779614325
"F",146,36,473,643.361522198731
"F",148,141,435,406.459770114943
"F",148,145,562,247.281138790036
"F",148,146,372,496.967741935484
"F",149,145,391,296.700767263427
"F",150,36,388,665.688144329897
"F",151,158,602,320.639534883721
"F",152,151,427,316.838407494145
"F",155,139,431,576.30626450116
"F",158,141,781,442.539052496799
"F",158,145,824,378.349514563107
"F",158,147,476,319.056722689076
"F",158,151,610,424.693442622951
"F",158,162,406,448.652709359606
"F",162,163,404,328.30198019802
"F",163,162,374,332.663101604278
"F",163,165,483,270.233954451346
"F",164,163,388,422.121134020619
"F",164,165,483,345.006211180124
"F",165,163,1066,210.069418386492
"F",166,167,507,186.771203155819
"F",167,182,643,347.44167962675
"F",167,285,452,379.641592920354
"F",167,286,664,331.272590361446
"F",168,182,582,305.266323024055
"F",169,182,490,223.2
"F",173,167,391,250.125319693095
"F",174,1,524,554.937022900763
"F",174,18,420,657.4
"F",174,85,559,450.985688729875
"F",174,111,693,365.50937950938
"F",174,183,596,322.303691275168
"F",174,255,458,319.056768558952
"F",179,63,483,389.548654244306
"F",182,51,379,673.701846965699
"F",182,74,395,410.248101265823
"F",182,172,433,510.572748267898
"F",182,173,412,325.342233009709
"F",183,18,393,482.450381679389
"F",183,174,409,267.158924205379
"F",185,186,551,328.749546279492
"F",186,185,513,283.307992202729
"F",189,185,564,323.445035460993
"F",191,177,402,522.014925373134
"F",193,239,374,556.534759358289
"F",194,194,445,1287.59325842697
"F",194,232,443,409.313769751693
"F",197,208,486,796.380658436214
"F",204,206,395,492.301265822785
"F",204,242,427,603.154566744731
"F",206,204,541,351.088724584103
"F",206,208,938,510.149253731343
"F",206,219,384,362.760416666667
"F",206,235,547,476.374771480804
"F",208,206,904,536.650442477876
"F",208,209,509,671.092337917485
"F",208,217,663,365.618401206637
"F",208,242,985,716.444670050761
"F",209,208,392,629.375
"F",210,197,467,638.646680942184
"F",210,206,537,392.266294227188
"F",210,209,586,503.650170648464
"F",210,242,369,730.758807588076
"F",211,217,1416,327.725282485876
"F",211,248,388,572.876288659794
"F",211,452,653,503.826952526799
"F",215,217,377,537.055702917772
"F",216,217,418,466.653110047847
"F",217,206,399,890.330827067669
"F",217,208,436,483.862385321101
"F",217,209,408,921.671568627451
"F",217,211,1076,319.297397769517
"F",217,212,512,295.8203125
"F",229,198,383,358.582245430809
"F",242,208,547,680.380255941499
"F",242,235,690,505.578260869565
"F",246,211,433,519.362586605081
"F",254,254,631,1214.16640253566
"F",256,111,536,404.875
"F",256,183,385,351.516883116883
"F",258,64,377,496.962864721485
"F",260,260,438,1736.57305936073
"F",262,262,475,1088.01473684211
"F",270,266,871,401.181400688863
"F",270,267,424,403.278301886792
"F",270,270,443,1348.80361173815
"F",271,10,565,508.656637168142
"F",271,14,370,1142.83243243243
"F",271,16,457,1000.00875273523
"F",271,17,422,894.002369668247
"F",271,18,492,832.45325203252
"F",271,19,431,762.909512761021
"F",271,41,436,525.775229357798
"F",271,116,383,672.109660574412
"F",271,270,638,388.454545454545
"F",280,295,469,263.138592750533
"F",286,167,527,271.73624288425
"F",300,360,385,692.823376623377
"F",312,310,428,223.855140186916
"F",320,295,614,297.988599348534
"F",328,310,366,250.96174863388
"F",356,317,366,463.46174863388
"F",359,356,522,430.944444444444
"F",359,357,654,347.313455657492
"F",360,300,448,720.5
"F",366,369,566,283.766784452297
"F",369,363,465,355.240860215054
"F",369,366,437,222.027459954233
"F",372,359,445,510.411235955056
"F",373,359,439,306.599088838269
"F",389,385,399,350.363408521303
"F",390,396,751,363.336884154461
"F",390,398,414,563.403381642512
"F",396,390,450,420.057777777778
"F",432,440,366,343.161202185792
"F",440,432,464,310.39224137931
"F",440,442,471,255.766454352442
"F",440,443,542,360.169741697417
"F",449,449,372,1408.65860215054
"F",452,211,463,504.980561555076
"F",463,465,450,495.5
"M",1,1,1794,1259.16109253066
"M",1,2,513,493.972709551657
"M",1,3,609,479.76354679803
"M",1,4,1074,432.832402234637
"M",1,5,1007,352.895729890765
"M",1,6,820,387.135365853659
"M",1,7,626,667.001597444089
"M",1,9,1436,382.727715877437
"M",1,11,940,347.159574468085
"M",1,12,788,340.359137055838
"M",1,14,817,644.35006119951
"M",1,15,958,527.15866388309
"M",1,16,543,502.580110497238
"M",1,17,500,488.402
"M",1,18,2869,367.315092366678
"M",1,19,379,478.76253298153
"M",1,22,601,610.134775374376
"M",1,23,836,478.303827751196
"M",1,24,665,466.261654135338
"M",1,25,771,419.274967574578
"M",1,27,1349,445.000741289844
"M",1,28,1382,597.688133140376
"M",1,32,442,661.9592760181
"M",1,34,1021,603.036238981391
"M",1,35,2516,488.788155802862
"M",1,41,493,830.014198782961
"M",1,43,449,986.287305122494
"M",1,86,1271,401.840283241542
"M",1,96,399,1120.37343358396
"M",1,99,1832,743.593340611354
"M",1,103,607,565.490939044481
"M",1,107,655,730.949618320611
"M",1,113,383,570.190600522193
"M",1,121,396,523.065656565657
"M",1,174,2004,530.596806387226
"M",1,183,557,490.120287253142
"M",1,266,1030,882.663106796116
"M",1,267,541,899.210720887246
"M",1,271,1100,881.579090909091
"M",1,272,510,941.411764705882
"M",2,1,509,403.581532416503
"M",2,2,924,1127.58874458874
"M",2,9,928,242.794181034483
"M",2,14,430,405.162790697674
"M",2,15,436,326.857798165138
"M",2,16,497,314.430583501006
"M",2,24,438,441.093607305936
"M",2,27,384,591.377604166667
"M",2,32,705,492.487943262411
"M",2,35,713,549.653576437588
"M",3,3,504,1742.7619047619
"M",3,7,544,677.336397058824
"M",3,14,827,670.87061668682
"M",3,15,654,570.496941896025
"M",3,16,480,674.6375
"M",3,17,447,494.114093959732
"M",3,29,406,650.285714285714
"M",3,41,443,676.943566591422
"M",3,43,685,705.395620437956
"M",3,52,413,809.375302663438
"M",3,65,389,905.046272493573
"M",3,87,385,881.251948051948
"M",3,96,555,755.6
"M",3,107,572,556.625874125874
"M",3,266,877,759.580387685291
"M",3,267,554,682.234657039711
"M",3,271,1119,609.009830205541
"M",3,272,470,573.970212765957
"M",4,1,1087,406.364305427783
"M",4,4,640,1050.0234375
"M",4,18,513,467.091617933723
"M",4,32,1036,327.787644787645
"M",4,59,471,649.488322717622
"M",4,111,366,558.912568306011
"M",4,254,415,754.04578313253
"M",4,271,378,1059.12433862434
"M",5,1,926,345.078833693305
"M",5,5,419,1088.83054892601
"M",5,7,447,398.845637583893
"M",5,14,457,409.612691466083
"M",5,27,390,469.797435897436
"M",5,32,710,485.832394366197
"M",5,36,397,606.642317380353
"M",5,271,368,1032.59782608696
"M",6,1,1061,384.602262016965
"M",6,4,576,267.078125
"M",6,6,882,1157.53854875283
"M",6,27,497,403.879275653924
"M",6,34,408,474.022058823529
"M",6,35,746,429.138069705094
"M",6,86,567,423.451499118166
"M",6,174,967,564.377456049638
"M",6,266,441,892.69387755102
"M",6,271,508,874.137795275591
"M",7,1,878,584.042141230068
"M",7,5,412,349.01213592233
"M",7,7,2871,1295.45802856148
"M",7,8,405,837.301234567901
"M",7,9,528,502.020833333333
"M",7,11,601,533.767054908486
"M",7,12,416,687.745192307692
"M",7,18,553,633.934900542495
"M",7,24,844,424.765402843602
"M",7,27,736,632.600543478261
"M",7,28,573,358.265270506108
"M",7,32,415,392.375903614458
"M",7,115,432,824.631944444444
"M",7,266,626,1216.75399361022
"M",7,271,627,1151.35406698565
"M",8,7,488,866.122950819672
"M",8,8,481,2021.89604989605
"M",8,26,523,576.221797323136
"M",8,29,780,482.560256410256
"M",8,41,533,528.983114446529
"M",8,43,974,682.237166324435
"M",8,52,440,833.577272727273
"M",8,96,380,942.571052631579
"M",8,266,611,740.487725040917
"M",8,271,438,654.529680365297
"M",9,1,794,441.521410579345
"M",9,2,454,437.777533039648
"M",9,9,546,953.432234432234
"M",9,14,474,301.478902953586
"M",9,27,509,467.548133595285
"M",9,32,665,373.765413533835
"M",9,35,381,504.608923884514
"M",9,86,370,496.127027027027
"M",9,174,466,694.12017167382
"M",9,266,397,1021.28715365239
"M",9,271,378,995.669312169312
"M",10,1,537,673.277467411546
"M",10,3,454,415.729074889868
"M",10,10,788,1146.02157360406
