"Horario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
2,1,"18",1221,331.382473382473
2,1,"35",743,420.067294751009
2,3,"15",389,484.830334190231
2,18,"1",566,293.992932862191
2,20,"15",406,454.615763546798
2,20,"23",415,459.081927710843
2,26,"271",453,466.743929359823
2,28,"250",512,426.07421875
2,28,"452",410,678.492682926829
2,32,"452",368,762.842391304348
2,34,"1",1063,465.979303857008
2,35,"1",765,448.577777777778
2,35,"32",403,290.761786600496
2,36,"45",566,271.886925795053
2,41,"18",489,632.231083844581
2,41,"19",772,531.765544041451
2,41,"20",916,412.143013100437
2,41,"27",564,516.609929078014
2,41,"3",535,400.244859813084
2,59,"36",468,450.273504273504
2,60,"36",532,265.225563909774
2,62,"36",528,280.098484848485
2,72,"36",396,425.787878787879
2,85,"174",419,298.766109785203
2,86,"14",502,583.876494023904
2,86,"15",767,479.091264667536
2,86,"16",934,404.841541755889
2,86,"23",517,502.164410058027
2,99,"10",373,463.01072386059
2,99,"11",384,698.533854166667
2,103,"18",396,540.416666666667
2,107,"113",682,255.077712609971
2,107,"114",388,227.719072164948
2,107,"115",420,388.411904761905
2,107,"116",497,307.806841046278
2,108,"257",861,899.486643437863
2,111,"174",983,229.335707019329
2,111,"18",577,417.554592720971
2,111,"27",380,412.273684210526
2,119,"113",495,203.721212121212
2,119,"115",693,267.313131313131
2,124,"123",427,147.768149882904
2,124,"31",413,529.215496368039
2,126,"134",375,244.562666666667
2,126,"136",571,256.245183887916
2,133,"136",503,388.093439363817
2,135,"136",507,294.388560157791
2,141,"126",502,300.958167330677
2,141,"158",367,428.226158038147
2,148,"141",404,319.965346534653
2,151,"148",458,262.85152838428
2,151,"149",397,226.947103274559
2,151,"158",559,283.581395348837
2,154,"146",416,233.504807692308
2,155,"139",579,377.680483592401
2,158,"141",848,385.533018867925
2,158,"145",511,327.767123287671
2,160,"247",397,741.576826196474
2,160,"257",389,310.023136246787
2,160,"464",503,1254.38568588469
2,160,"467",629,775.050874403816
2,165,"158",398,302.258793969849
2,165,"163",749,160.998664886515
2,167,"305",755,436.520529801325
2,168,"182",572,214.087412587413
2,169,"182",493,138.882352941176
2,171,"185",371,456.398921832884
2,173,"167",401,225.645885286783
2,173,"170",608,319.210526315789
2,174,"1",1006,529.390656063618
2,174,"11",416,457.706730769231
2,174,"111",560,258.498214285714
2,174,"18",696,556.635057471264
2,174,"183",999,207.716716716717
2,174,"19",455,545.046153846154
2,180,"315",400,540.82
2,183,"174",950,196.985263157895
2,183,"256",475,266.294736842105
2,184,"185",399,187.09022556391
2,185,"184",607,173.60626029654
2,189,"185",447,257.590604026846
2,191,"185",401,326.179551122195
2,193,"227",442,706.160633484163
2,193,"239",701,333.968616262482
2,194,"226",644,329.399068322981
2,194,"239",471,279.67940552017
2,195,"192",405,220.123456790123
2,195,"224",419,408.324582338902
2,204,"197",436,592.016055045872
2,204,"198",553,487.631103074141
2,204,"202",771,273.422827496757
2,204,"206",653,353.531393568147
2,204,"240",423,619.822695035461
2,204,"242",750,482.209333333333
2,204,"460",570,581.524561403509
2,208,"197",495,723.10505050505
2,208,"198",836,553.91028708134
2,208,"206",709,545.441466854725
2,208,"209",637,619.992150706436
2,208,"215",484,397.318181818182
2,208,"242",1370,568.66204379562
2,208,"460",611,657.129296235679
2,210,"197",462,607.595238095238
2,210,"206",534,359.09925093633
2,210,"209",863,432.929316338355
2,210,"460",634,544.160883280757
2,211,"205",388,230.363402061856
2,211,"207",482,264.730290456432
2,211,"217",1534,235.829204693611
2,211,"226",407,536.830466830467
2,211,"242",460,626.258695652174
2,211,"248",485,436.682474226804
2,211,"452",847,419.190082644628
2,211,"476",459,458.398692810458
2,212,"217",396,233.853535353535
2,228,"227",775,334.815483870968
2,237,"227",537,517.346368715084
2,237,"235",599,348.956594323873
2,237,"236",763,346.272608125819
2,238,"236",416,366.451923076923
2,241,"454",376,617.55585106383
2,242,"235",481,433.559251559252
2,255,"127",402,809.293532338308
2,255,"18",374,540.120320855615
2,256,"41",518,375.681467181467
2,257,"459",444,1333.05630630631
2,266,"1",477,836.679245283019
2,266,"117",370,786.07027027027
2,266,"14",568,965.478873239437
2,266,"15",795,921.733333333333
2,266,"16",717,875.620641562064
2,266,"17",578,801.337370242215
2,266,"18",908,700.331497797357
2,266,"19",629,679.89507154213
2,266,"20",513,608.042884990253
2,266,"23",484,954.54958677686
2,266,"24",458,904.609170305677
2,266,"27",556,661.489208633094
2,266,"28",713,1031.52314165498
