"Genero_Usuario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
"","194",194,423,45.4268715524035
"","195",195,401,46.9623441396509
"F","1",11,366,6.16302367941712
"F","1",18,415,7.00550200803213
"F","1",86,377,8.79575596816976
"F","111",111,380,21.8064912280702
"F","125",125,510,24.7481699346405
"F","135",135,463,21.2925125989921
"F","135",136,429,7.49475524475525
"F","136",135,413,6.74245359160613
"F","139",139,821,28.6106577344702
"F","141",141,389,17.7129391602399
"F","150",150,423,20.8751379038613
"F","151",151,486,20.1307270233196
"F","151",281,374,9.14679144385027
"F","153",149,367,7.34881925522252
"F","158",134,385,8.68
"F","163",165,501,4.67245508982036
"F","165",163,666,3.92725225225225
"F","174",111,620,5.67102150537634
"F","174",183,376,6.52260638297872
"F","18",1,502,6.85092961487384
"F","183",174,368,6.57078804347826
"F","183",183,591,25.5725324309081
"F","184",184,371,28.0016172506739
"F","194",194,428,30.1919392523365
"F","206",204,410,5.69808943089431
"F","208",206,424,8.60051100628931
"F","260",260,472,31.1877824858757
"F","27",27,505,34.126204620462
"F","270",270,375,22.6316444444444
"F","327",327,656,30.5414888211382
"F","33",33,704,36.9826231060606
"F","35",1,370,9.3818018018018
"F","366",369,431,2.96937354988399
"F","369",366,476,4.11102941176471
"F","390",302,506,13.8975625823452
"F","391",327,398,26.1143216080402
"F","391",391,2298,45.8581012474616
"F","41",41,419,26.2062052505967
"F","426",426,672,24.8239831349206
"F","449",449,401,27.1514131338321
"F","47",47,479,25.3099512874043
"M","1",1,1123,23.7455921638468
"M","1",4,393,7.49486853265479
"M","1",5,368,6.52694746376812
"M","1",11,404,8.59793729372937
"M","1",14,606,11.2495599559956
"M","1",18,728,6.35906593406593
"M","1",27,452,8.05
"M","1",30,465,8.55616487455197
"M","1",34,380,9.64723684210526
"M","1",35,913,8.60352318364366
"M","1",86,386,6.6580310880829
"M","1",174,623,9.48020331728197
"M","1",271,544,13.0233455882353
"M","10",10,477,21.2803284416492
"M","103",18,389,10.4866323907455
"M","103",103,484,21.4736914600551
"M","106",106,472,28.3076271186441
"M","107",107,388,27.1810137457045
"M","107",113,931,5.36539563193698
"M","107",114,410,4.66130081300813
"M","108",33,522,19.5636973180077
"M","108",108,434,30.3928571428571
"M","109",124,419,10.547891805887
"M","11",1,479,6.24439805149617
"M","11",11,947,25.8920450545583
"M","11",174,544,8.78094362745098
"M","111",111,697,24.3010521281683
"M","111",174,1297,5.04273965561552
"M","112",112,473,21.6659971811135
"M","113",96,820,20.3611991869919
"M","113",107,927,6.26841064365336
"M","113",113,479,64.0078288100209
"M","113",119,369,8.08640469738031
"M","115",115,872,23.9081039755352
"M","116",116,706,23.6387865911237
"M","117",117,452,21.9057522123894
"M","117",119,521,5.68365323096609
"M","119",24,393,8.77226463104326
"M","119",112,376,6.70403368794326
"M","119",113,412,4.0253640776699
"M","119",117,413,5.20334947538337
"M","119",119,456,23.0373538011696
"M","12",12,421,26.1128661916073
"M","121",121,393,25.1689991518236
"M","123",123,813,16.0732062320623
"M","124",82,1159,12.3414006327294
"M","124",124,615,22.4286178861789
"M","125",3,440,6.78674242424242
"M","125",27,379,34.5613016710642
"M","125",125,1265,24.4109354413702
"M","129",129,451,20.0452697708795
"M","131",133,418,5.90346889952153
"M","133",133,780,21.2143803418803
"M","134",126,370,6.2809009009009
"M","134",134,450,19.3213333333333
"M","135",56,475,7.94298245614035
"M","135",135,644,21.714880952381
"M","135",136,911,6.56492864983535
"M","136",135,804,6.48063847429519
"M","136",136,531,21.5238543628374
"M","137",126,385,6.13904761904762
"M","137",137,527,21.525458570525
"M","138",138,495,21.0591245791246
"M","138",149,367,6.00699364214351
"M","139",33,749,29.6831330663106
"M","139",108,370,21.1862612612613
"M","139",139,2130,30.5829968701095
"M","139",155,509,21.786836935167
"M","139",257,432,21.4735725308642
"M","14",14,408,25.2134395424837
"M","141",126,414,6.03599033816425
"M","141",141,1008,17.3720072751323
"M","141",158,469,8.32153518123667
"M","142",142,817,18.5858221134231
"M","143",149,431,3.67629543696829
"M","145",145,633,21.3632964718273
"M","146",145,375,6.2772
"M","146",146,687,20.7668607472101
"M","149",133,400,8.55854166666667
"M","149",151,636,5.01509433962264
"M","150",162,391,5.50473145780051
"M","151",149,1119,4.15519809353589
"M","151",151,642,20.8722222222222
"M","151",158,611,6.09517184942717
"M","153",153,381,18.9976815398075
"M","154",56,440,7.25962121212121
"M","154",142,461,5.96084598698482
"M","154",146,430,5.26848837209302
"M","154",154,393,21.7863019508058
"M","155",139,555,19.3844144144144
"M","155",155,1368,32.1281432748538
"M","155",449,403,17.825641025641
"M","158",141,575,7.67292753623188
"M","158",151,827,5.90721483272874
"M","158",153,371,7.71159029649596
"M","160",160,724,21.5752992633517
"M","160",257,930,8.7984229390681
"M","162",163,419,4.48993635640414
"M","162",164,409,6.67057864710676
"M","163",162,496,4.97624327956989
"M","163",165,410,5.66231707317073
"M","164",162,455,4.77721611721612
"M","164",163,496,6.80124327956989
"M","164",164,593,21.90413153457
"M","164",165,593,5.66121416526138
"M","165",163,725,5.26765517241379
"M","167",286,1000,5.86508333333333
"M","168",182,402,6.48076285240464
"M","169",169,862,19.7023201856148
"M","17",17,424,27.7138757861635
"M","171",171,372,25.9448028673835
"M","171",305,415,6.28084337349398
"M","172",172,604,21.1810430463576
"M","172",177,438,4.93877473363775
"M","174",1,568,10.1901408450704
"M","174",11,631,9.49035921817221
"M","174",85,598,6.47773132664437
"M","174",111,1168,5.18294805936073
"M","174",174,566,22.3068610129564
"M","174",183,788,5.14875211505922
"M","174",271,532,9.30244360902256
"M","175",175,727,28.0694635488308
"M","175",190,401,19.1935162094763
"M","175",327,512,23.316796875
"M","177",172,395,5.33333333333333
"M","18",1,913,7.10337714494341
"M","18",18,466,26.4165951359084
"M","18",271,375,13.1448444444444
"M","180",180,460,25.2315942028985
"M","180",303,475,7.4179649122807
"M","181",181,618,20.6634843581446
"M","182",84,515,5.53980582524272
"M","182",182,578,24.652970011534
"M","183",18,385,9.40917748917749
"M","183",174,869,4.77725354813962
"M","183",183,593,22.9694772344013
"M","183",254,383,5.7197998259356
"M","183",271,404,11.0140676567657
"M","185",185,437,25.8713196033562
"M","185",187,487,5.95869267624914
"M","187",185,386,4.4360103626943
"M","187",187,440,25.0148484848485
"M","190",175,421,18.1663895486936
"M","190",190,864,25.1305362654321
"M","190",449,412,20.0124595469256
"M","194",194,427,27.5916081186573
"M","197",197,391,19.7791986359761
"M","197",208,373,12.7925379803396
"M","197",465,648,8.71275720164609
"M","197",466,433,8.84103156274057
"M","20",15,404,8.69397689768977
"M","204",242,373,9.75880250223414
"M","206",208,429,8.32288267288267
"M","208",206,513,8.66244314489929
"M","208",242,366,10.2651639344262
"M","208",460,491,11.4325526137135
"M","211",206,382,9.6326352530541
"M","211",217,949,4.90024587284861
"M","211",246,587,6.10369108461102
