"Horario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
2,"107",113,838,262.624105011933
2,"174",6,412,442.541262135922
2,"174",85,401,325.43391521197
2,"208",206,465,465.864516129032
2,"208",242,392,599.288265306122
2,"211",217,568,228.677816901408
2,"271",16,374,837.339572192513
2,"271",17,381,734.614173228346
2,"271",26,603,424.243781094527
2,"271",28,369,902.644986449865
2,"271",270,416,275.165865384615
2,"359",355,399,430.872180451128
2,"465",197,377,546.976127320955
3,"1",1,916,1372.06441048035
3,"1",4,494,450.655870445344
3,"1",5,387,421.974160206718
3,"1",11,433,494.729792147806
3,"1",12,410,415.543902439024
3,"1",14,490,551.875510204082
3,"1",18,667,391.539730134933
3,"1",27,529,500.412098298677
3,"1",35,606,473.640264026403
3,"1",86,407,432.58230958231
3,"1",99,779,777.378690629012
3,"1",174,585,606.408547008547
3,"103",103,463,1470.21382289417
3,"103",174,373,401.254691689008
3,"106",95,377,400.254641909814
3,"106",106,422,1648.13981042654
3,"107",113,638,288.183385579937
3,"108",108,389,1779.46529562982
3,"11",1,421,453.826603325416
3,"11",11,630,1654.32698412698
3,"11",99,414,719.690821256039
3,"111",111,667,1460.92803598201
3,"111",174,997,333.340020060181
3,"112",112,418,1264.34928229665
3,"113",107,566,430.162544169611
3,"113",113,373,3832.83646112601
3,"116",116,620,1325.32419354839
3,"119",113,396,276.89898989899
3,"119",119,445,1575.96853932584
3,"12",1,374,509.05614973262
3,"120",119,498,297.363453815261
3,"120",120,460,1220.88260869565
3,"123",123,728,1133.81868131868
3,"124",82,861,739.003484320558
3,"124",124,739,1388.02706359946
3,"125",125,579,1469.56822107081
3,"126",126,420,1524.98095238095
3,"126",134,506,376.99209486166
3,"126",136,394,395.664974619289
3,"126",141,375,439.693333333333
3,"128",128,366,1266.24043715847
3,"129",129,616,891.589285714286
3,"133",133,510,1111.9137254902
3,"134",134,465,1305.80215053763
3,"135",135,610,1248.5
3,"135",136,633,350.971563981043
3,"136",135,424,411.893867924528
3,"136",136,431,1223.22505800464
3,"137",137,437,1645.27459954233
3,"138",138,437,1349.53089244851
3,"139",139,1157,1622.16076058773
3,"140",140,392,1294.66836734694
3,"141",141,767,1241.61277705345
3,"141",158,399,455.944862155388
3,"142",142,546,1215.11538461538
3,"145",145,600,1311.31833333333
3,"146",146,636,1260.46855345912
3,"150",150,390,1496.66153846154
3,"151",151,593,1411.02866779089
3,"151",158,517,334.510638297872
3,"155",139,385,827.955844155844
3,"155",155,1103,1756.19945602901
3,"158",141,551,441.241379310345
3,"158",145,414,408.231884057971
3,"158",151,509,442.970530451866
3,"160",160,505,1476.85148514851
3,"160",257,606,504.683168316832
3,"161",161,410,1457.63170731707
3,"163",163,506,1504.62450592885
3,"163",165,481,279.345114345114
3,"164",164,706,1506.0821529745
3,"164",165,506,334.962450592885
3,"165",163,667,309.508245877061
3,"165",165,386,1589.9585492228
3,"167",286,458,396.397379912664
3,"169",169,604,1364.24006622517
3,"17",17,382,1486.66753926702
3,"174",1,614,573.760586319218
3,"174",11,417,587.9448441247
3,"174",85,485,523.610309278351
3,"174",111,889,334.308211473566
3,"174",174,485,1510.34432989691
3,"174",183,583,336.497427101201
3,"175",175,434,1690.11751152074
3,"18",1,966,342.8033126294
3,"18",18,456,1194.87061403509
3,"180",180,387,1420.18087855297
3,"180",182,407,308.931203931204
3,"181",181,487,1263.20944558522
3,"182",182,754,1420.26790450928
3,"183",174,841,287.912009512485
3,"183",183,581,1557.59380378657
3,"186",186,493,1735.39553752535
3,"190",190,476,1641.21638655462
3,"194",194,628,1794.58598726115
3,"2",2,481,1423.51559251559
3,"206",208,600,505.423333333333
3,"208",206,982,524.97250509165
3,"208",217,390,425.648717948718
3,"208",242,671,714.22652757079
3,"209",208,377,588.580901856764
3,"211",217,600,266.885
3,"217",217,789,1168.95310519645
3,"222",222,696,1536.02011494253
3,"23",23,607,1409.88303130148
3,"23",27,368,509.345108695652
3,"232",232,378,1527.71957671958
3,"241",241,680,1698.99852941176
3,"242",208,471,688.356687898089
3,"242",242,470,1022.04893617021
3,"247",247,433,1948.99076212471
3,"254",254,630,1245.29682539683
3,"255",255,576,1047.78125
3,"257",108,453,930.671081677704
3,"257",257,1260,1914.73095238095
3,"257",260,390,1034.85641025641
3,"26",26,385,2151.0961038961
3,"26",96,375,793.170666666667
3,"260",257,422,1097.94549763033
3,"260",260,810,1863.98641975309
3,"262",262,802,1175.95635910224
3,"27",1,549,489.564663023679
3,"27",27,1434,1546.3479776848
3,"27",29,367,630.893732970027
3,"27",43,441,1003.6462585034
3,"270",266,499,403.65130260521
3,"270",270,582,1245.53951890034
3,"271",26,423,489.111111111111
3,"271",27,375,733.501333333333
3,"271",41,423,649.38061465721
3,"271",270,489,459.993865030675
3,"28",27,506,547.602766798419
3,"28",28,613,1546.14355628059
3,"295",295,927,1864.22114347357
3,"295",299,506,413.235177865613
3,"295",302,374,555.248663101604
3,"295",317,443,482.981941309255
3,"296",296,407,1485.08845208845
3,"310",312,437,305.414187643021
3,"32",4,427,364.494145199063
3,"321",321,509,1855.96070726916
3,"327",327,710,1899.75774647887
3,"327",391,479,1205.40709812109
3,"33",33,1529,2104.21582733813
3,"34",1,464,581.564655172414
3,"34",34,1637,1505.10690287111
3,"35",1,524,542.295801526718
3,"359",356,521,402.21689059501
3,"359",357,444,298.002252252252
3,"359",359,369,1539.40650406504
3,"36",53,546,344.567765567766
3,"36",58,519,292.763005780347
3,"366",369,451,196.687361419069
3,"37",37,404,1457.74752475248
3,"39",39,524,1181.39312977099
3,"390",334,375,497.154666666667
3,"391",327,562,1335.87366548043
3,"391",391,1011,2472.21859545005
3,"4",1,419,521.107398568019
3,"4",4,705,1299.71914893617
3,"404",404,419,1440.52267303103
3,"405",405,488,1607.0512295082
3,"407",407,718,1055.1295264624
3,"41",20,447,519.870246085011
3,"41",41,590,1530.31355932203
3,"43",43,387,1708.77519379845
3,"43",87,467,469.23982869379
3,"43",88,400,568.8125
3,"433",433,403,1176.56079404467
3,"434",434,1638,1773.20757020757
3,"44",44,528,723.609848484848
3,"445",445,382,1662.73036649215
3,"449",449,939,1520.40149094782
3,"45",45,764,1097.76439790576
3,"459",459,372,1541.06989247312
3,"460",208,550,760.767272727273
3,"467",241,370,970.340540540541
3,"47",47,477,1075.69182389937
3,"48",87,444,451.77027027027
3,"48",96,367,456.948228882834
4,"1",1,420,1810.26904761905
4,"1",18,390,528.866666666667
4,"111",111,411,1688.61313868613
4,"111",174,415,395.549397590361
4,"113",107,408,368.044117647059
4,"139",139,642,2054.81308411215
4,"155",155,372,1787.72849462366
4,"174",85,393,499.982188295165
4,"174",111,528,384.126893939394
4,"18",1,525,349.289523809524
4,"18",271,373,798.061662198391
4,"183",183,383,1511.65796344648
4,"206",208,632,468.338607594937
4,"217",211,402,299.52736318408
4,"24",266,416,1054.47596153846
4,"242",242,529,687.213610586011
4,"257",257,576,2702.71701388889
4,"260",260,407,2116.23832923833
4,"27",27,747,1840.00803212851
4,"27",266,449,890.826280623608
4,"27",271,451,778.611973392461
4,"270",266,542,417.280442804428
4,"270",270,412,1563.78883495146
4,"28",266,374,1133.94919786096
4,"327",327,393,2135.40203562341
4,"33",33,1067,2309.1358950328
4,"34",34,1063,1702.80809031044
4,"391",391,847,3079.33175914994
4,"41",266,468,528.858974358974
4,"449",449,621,1588.08051529791
5,"113",107,416,336.819711538462
