"Genero_Usuario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
"F",1,"1",467,1254.72162740899
"F",1,"174",390,655.128205128205
"F",1,"18",1106,371.355334538879
"F",1,"35",406,567.92118226601
"F",1,"4",393,431.315521628499
"F",4,"1",377,396.506631299735
"F",6,"35",489,437.562372188139
"F",9,"1",371,408.466307277628
"F",14,"27",389,715.73264781491
"F",15,"27",548,513.81204379562
"F",16,"16",442,1043.407239819
"F",18,"1",1271,359.473642800944
"F",18,"255",371,622.097035040431
"F",21,"27",493,500.539553752535
"F",23,"27",483,511.217391304348
"F",24,"266",424,1076.61320754717
"F",24,"27",465,441.537634408602
"F",26,"43",369,522.845528455285
"F",27,"1",535,510.166355140187
"F",27,"15",442,499.495475113122
"F",27,"174",449,735.104677060134
"F",27,"266",488,915.174180327869
"F",27,"27",408,1122.64705882353
"F",27,"29",420,652.471428571429
"F",27,"41",426,858.992957746479
"F",27,"43",610,1009.76721311475
"F",28,"266",378,1177.42063492063
"F",33,"139",394,898.464467005076
"F",33,"33",411,1638.89051094891
"F",34,"1",414,574.072463768116
"F",35,"1",488,613.022540983607
"F",35,"32",407,327.850122850123
"F",40,"47",390,293.2
"F",41,"18",395,745.303797468354
"F",41,"19",426,646.384976525822
"F",41,"20",709,530.830747531735
"F",41,"3",446,492.275784753363
"F",49,"46",449,333.543429844098
"F",53,"36",382,292.82722513089
"F",53,"447",369,245.49593495935
"F",54,"38",411,258.30900243309
"F",64,"36",578,508.112456747405
"F",64,"37",543,442.672191528545
"F",64,"38",501,471.842315369261
"F",64,"44",376,474.877659574468
"F",64,"45",549,349.779599271403
"F",71,"182",448,525.265625
"F",74,"47",405,513.483950617284
"F",85,"174",625,372.2912
"F",86,"1",429,528.517482517483
"F",86,"16",392,591.923469387755
"F",111,"174",569,313.335676625659
"F",111,"18",736,441.289402173913
"F",120,"120",393,1045.81170483461
"F",123,"123",444,1046.53153153153
"F",126,"134",723,295.467496542185
"F",126,"141",666,428.923423423423
"F",133,"136",366,490.043715846995
"F",134,"126",568,272.193661971831
"F",134,"134",366,1082.3087431694
"F",135,"134",393,330.417302798982
"F",135,"136",817,377.412484700122
"F",136,"135",797,372.598494353827
"F",136,"137",378,351.740740740741
"F",137,"136",432,319.106481481481
"F",139,"139",381,1349.43569553806
"F",139,"155",701,459.400855920114
"F",140,"148",368,252.660326086957
"F",141,"126",663,389.829562594268
"F",141,"141",374,1422.02406417112
"F",141,"158",907,441.556780595369
"F",145,"126",458,431.264192139738
"F",145,"149",513,288.345029239766
"F",145,"158",589,375.176570458404
"F",147,"147",1393,867.173725771716
"F",148,"141",397,414.745591939547
"F",148,"145",439,253.731207289294
"F",149,"145",474,309.970464135021
"F",150,"153",417,237.529976019185
"F",150,"157",372,337.166666666667
"F",151,"158",601,340.928452579035
"F",155,"139",807,462
"F",158,"141",817,431.148102815177
"F",158,"145",846,383.017730496454
"F",158,"147",377,410.594164456233
"F",158,"151",414,410.705314009662
"F",160,"257",392,446.869897959184
"F",162,"163",546,312.858974358974
"F",163,"162",712,323.862359550562
"F",163,"165",545,280.038532110092
"F",164,"165",463,333.099352051836
"F",165,"163",1178,225.072156196944
"F",166,"167",504,190.043650793651
"F",167,"182",394,401.639593908629
"F",167,"286",503,364.733598409543
"F",168,"182",577,254.797227036395
"F",169,"182",415,283.387951807229
"F",174,"1",450,558.168888888889
"F",174,"111",787,318.592121982211
"F",174,"183",861,273.116144018583
"F",174,"255",377,325.564986737401
"F",183,"174",586,276.918088737201
"F",185,"186",398,368.208542713568
"F",186,"185",488,315.602459016393
"F",186,"187",437,219.368421052632
"F",189,"185",584,292.407534246575
"F",191,"185",371,411.88409703504
"F",194,"194",534,1256.92134831461
"F",194,"232",433,411.357967667436
"F",194,"239",424,304.702830188679
"F",197,"208",475,807.92
"F",204,"202",378,303.632275132275
"F",204,"206",381,467.923884514436
"F",206,"208",727,524.832187070151
"F",208,"206",699,518.098712446352
"F",208,"217",552,327.666666666667
"F",208,"242",695,749.061870503597
"F",208,"460",419,763.038186157518
"F",210,"197",505,710.164356435644
"F",210,"206",530,401.78679245283
"F",210,"209",428,530.661214953271
"F",211,"217",1106,279.80198915009
"F",216,"217",391,487.324808184143
"F",217,"211",858,278.404428904429
"F",217,"212",490,274.195918367347
"F",229,"198",407,369.031941031941
"F",237,"233",372,336.384408602151
"F",241,"459",485,617.183505154639
"F",242,"208",458,667.639737991266
"F",254,"254",993,1411.9335347432
"F",255,"174",391,266.716112531969
"F",256,"111",543,385.889502762431
"F",256,"183",417,344.364508393285
"F",257,"108",421,791.57244655582
"F",257,"459",373,1368.90884718499
"F",260,"260",373,1510.84450402145
"F",262,"262",506,1105.92885375494
"F",270,"266",629,402.748807631161
"F",270,"270",539,997.486085343228
"F",271,"10",505,494.580198019802
"F",271,"16",367,969.564032697548
"F",271,"18",382,793.94502617801
"F",271,"19",371,764.385444743935
"F",271,"270",527,363.117647058824
"F",286,"167",406,279.502463054187
"F",286,"168",403,348.610421836228
"F",286,"305",406,299.480295566502
"F",288,"312",625,179.4448
"F",295,"299",396,428.906565656566
"F",295,"319",381,351.687664041995
"F",310,"312",391,274.107416879795
"F",312,"310",367,230.179836512262
"F",319,"295",695,408.794244604317
"F",320,"295",420,406.335714285714
"F",328,"310",760,243.743421052632
"F",354,"387",393,393.715012722646
"F",359,"356",584,391.729452054795
"F",359,"357",586,323.723549488055
"F",363,"369",479,368.313152400835
"F",366,"369",747,176.566265060241
"F",369,"363",613,355.750407830343
"F",369,"366",708,224.014124293785
"F",373,"359",417,340.040767386091
"F",383,"384",373,207.364611260054
"F",385,"389",463,345.231101511879
"F",390,"396",366,376.415300546448
"F",390,"398",428,586.268691588785
"F",391,"391",379,1628.40105540897
"F",394,"356",370,436.754054054054
"F",428,"402",464,432.394396551724
"F",439,"437",368,230.222826086957
"F",440,"443",388,408.64175257732
"F",449,"449",534,1375.61797752809
"F",463,"465",875,498.96
"F",465,"463",696,551.958333333333
"F",467,"464",396,540.032828282828
"F",476,"14",369,944.558265582656
"M",1,"1",1684,1213.36520190024
"M",1,"10",397,552.166246851385
"M",1,"103",583,551.965694682676
"M",1,"11",736,415.073369565217
"M",1,"111",410,514.036585365854
"M",1,"12",591,370.106598984772
"M",1,"14",602,586.594684385382
"M",1,"15",759,501.139657444005
"M",1,"16",602,477.714285714286
"M",1,"174",2050,533.756097560976
"M",1,"18",2485,370.05754527163
"M",1,"183",674,483.480712166172
"M",1,"2",801,332.746566791511
"M",1,"23",695,491.717985611511
"M",1,"24",492,486.132113821138
"M",1,"25",810,405.196296296296
"M",1,"254",392,648.543367346939
"M",1,"266",1096,898.801094890511
"M",1,"267",654,899.233944954128
"M",1,"27",1469,402.582709326072
"M",1,"271",1071,860.339869281046
"M",1,"28",960,592.489583333333
"M",1,"30",934,464.647751605996
"M",1,"34",929,558.294940796555
"M",1,"35",2373,509.678466076696
"M",1,"4",869,408.949367088608
"M",1,"41",369,862.113821138211
"M",2,"1",659,357.546282245827
"M",2,"14",372,419.008064516129
"M",2,"16",646,333.482972136223
"M",2,"2",863,1142.41714947856
"M",2,"24",600,357.298333333333
"M",2,"27",435,533.326436781609
"M",2,"32",699,524.303290414878
"M",2,"35",656,606.271341463415
"M",3,"107",456,500.563596491228
"M",3,"14",500,755.82
"M",3,"15",584,634.530821917808
"M",3,"266",622,696.72347266881
"M",3,"267",434,702.905529953917
"M",3,"271",511,658.982387475538
"M",3,"3",424,2322.81132075472
"M",3,"41",505,591.051485148515
"M",3,"43",488,742.27868852459
"M",4,"1",722,389.639889196676
"M",4,"18",372,380.161290322581
"M",4,"32",551,383.130671506352
"M",4,"4",398,1042.42462311558
"M",5,"1",889,360.015748031496
"M",5,"32",578,418.792387543253
"M",5,"35",572,578.06993006993
"M",5,"36",422,626.260663507109
"M",6,"1",823,469.709599027947
"M",6,"12",384,351.4296875
"M",6,"14",381,578.09186351706
"M",6,"174",977,554.473899692938
"M",6,"266",422,967.976303317536
"M",6,"27",390,412.217948717949
"M",6,"271",491,838.50916496945
"M",6,"34",409,452.960880195599
"M",6,"35",847,493.247933884298
"M",6,"4",476,256.012605042017
"M",7,"1",635,589.08031496063
"M",7,"115",513,778.783625730994
"M",7,"12",531,721.61581920904
"M",7,"2",443,328.51467268623
"M",7,"24",442,428.095022624434
"M",7,"266",799,1250.01376720901
"M",7,"267",504,1281.00198412698
"M",7,"27",537,617.070763500931
"M",7,"271",401,1263.45137157107
"M",7,"28",386,371.458549222798
"M",7,"32",420,382.942857142857
"M",8,"266",543,720.878453038674
"M",8,"271",392,833.27806122449
"M",8,"29",587,495.422487223169
"M",8,"41",582,535.285223367698
"M",8,"43",820,682.929268292683
"M",9,"1",876,409.916666666667
"M",9,"14",390,264.6
"M",9,"174",508,763.812992125984
"M",9,"2",458,484.807860262009
"M",9,"266",540,1066.44259259259
"M",9,"267",374,1090.55080213904
"M",9,"32",640,384.7953125
"M",10,"1",574,722.433797909408
"M",10,"10",789,1250.75918884664
"M",10,"107",406,458.5960591133
"M",10,"11",389,460.835475578406
"M",10,"15",485,734.534020618557
"M",10,"16",400,692.225
"M",10,"17",370,577.910810810811
"M",10,"18",558,485.982078853047
"M",10,"19",512,460.748046875
"M",10,"20",445,370.4
"M",10,"266",1213,503.779884583677
"M",10,"267",736,526.032608695652
"M",10,"27",551,489.076225045372
"M",10,"271",586,639.633105802048
"M",10,"43",476,596.023109243697
"M",11,"1",802,385.391521197007
"M",11,"103",484,690.123966942149
"M",11,"11",743,1205.04845222073
"M",11,"121",636,397.309748427673
"M",11,"15",442,507.391402714932
"M",11,"174",1123,491.804096170971
"M",11,"28",430,582.467441860465
"M",11,"34",551,470.157894736842
"M",11,"35",539,432.285714285714
"M",11,"41",433,668.651270207852
"M",11,"43",396,742.542929292929
"M",12,"1",626,473.640575079872
"M",12,"103",366,593.890710382514
"M",12,"12",383,1235.37075718016
"M",12,"174",526,477.975285171103
"M",13,"266",534,1193.52621722846
"M",13,"267",424,1166.04481132075
"M",14,"14",557,1439.89946140036
"M",14,"18",772,612.084196891192
"M",14,"217",544,629.902573529412
"M",14,"24",409,419.819070904645
"M",14,"25",556,477.807553956835
"M",14,"266",923,1162.78114842904
"M",14,"267",625,1164.608
"M",14,"27",936,571.415598290598
"M",14,"271",1053,1060.62962962963
"M",14,"31",449,585.953229398664
"M",15,"1",542,619.365313653137
"M",15,"115",429,565.988344988345
"M",15,"15",778,1086.86118251928
"M",15,"18",603,458.069651741294
"M",15,"194",376,782.287234042553
"M",15,"20",404,649.628712871287
"M",15,"217",376,695.949468085106
"M",15,"24",379,438.817941952507
"M",15,"250",383,590.958224543081
"M",15,"266",1200,1086.61916666667
"M",15,"267",846,1093.31678486998
"M",15,"27",1300,492.132307692308
"M",15,"271",768,1029.06640625
"M",15,"29",383,829.861618798956
"M",15,"31",562,562.987544483986
"M",15,"35",545,505.915596330275
"M",15,"43",396,1179.07323232323
"M",15,"46",525,337.72380952381
"M",16,"1",616,456.920454545455
"M",16,"14",487,514.026694045175
"M",16,"16",1144,1035.41695804196
"M",16,"194",434,857.746543778802
"M",16,"2",409,429.462102689487
"M",16,"253",640,454.696875
"M",16,"266",955,1067.47015706806
"M",16,"267",631,1071.79239302694
"M",16,"27",612,618.622549019608
"M",16,"271",548,1074.37408759124
"M",16,"32",597,345.4405360134
"M",16,"35",575,371.641739130435
"M",17,"14",384,427.309895833333
"M",17,"266",701,986.218259629101
"M",17,"267",516,984.259689922481
"M",17,"27",374,367.53743315508
"M",17,"271",557,925.734290843806
"M",17,"35",508,328.027559055118
"M",18,"1",3180,382.229559748428
"M",18,"103",437,756.356979405034
"M",18,"12",374,398.641711229947
"M",18,"14",1131,505.770114942529
"M",18,"15",940,410.58829787234
"M",18,"174",819,686.335775335775
"M",18,"18",1065,1280.56525821596
"M",18,"183",417,602.786570743405
"M",18,"20",484,330.671487603306
"M",18,"23",376,422.55585106383
"M",18,"266",1421,883.4257565095
"M",18,"267",835,906.722155688623
"M",18,"271",1083,824.923361034164
"M",18,"272",493,793.543610547667
"M",18,"28",427,589.510538641686
"M",18,"29",469,692.940298507463
"M",18,"4",371,386.5525606469
"M",18,"41",520,922.503846153846
"M",18,"43",601,1113.00499168053
"M",19,"1",577,472.362218370884
"M",19,"14",698,596.240687679083
"M",19,"15",1113,462.007187780773
"M",19,"16",507,490.51282051282
"M",19,"174",635,601.453543307087
"M",19,"19",512,1331.9296875
"M",19,"24",600,424.95
"M",19,"266",697,828.015781922525
"M",19,"267",454,830.859030837004
"M",19,"271",538,798.369888475836
"M",19,"34",447,435.384787472036
"M",20,"13",409,538.134474327628
"M",20,"14",695,690.644604316547
"M",20,"15",989,483.32760364004
"M",20,"16",672,519.53869047619
"M",20,"17",384,396.065104166667
"M",20,"174",482,642.765560165975
"M",20,"18",540,342.753703703704
"M",20,"20",891,1319.72502805836
"M",20,"23",563,502.488454706927
"M",20,"254",405,506.185185185185
"M",20,"259",366,429.371584699454
"M",20,"266",856,752.503504672897
"M",20,"267",694,749.49855907781
"M",20,"271",641,723.135725429017
"M",20,"29",482,564.647302904564
"M",20,"34",464,389.487068965517
"M",20,"41",442,651.814479638009
"M",20,"43",402,886.731343283582
"M",21,"1",523,577.154875717017
"M",21,"266",928,1096.2974137931
"M",21,"267",630,1116.78571428571
"M",21,"27",888,576.567567567568
"M",21,"271",429,1067.29836829837
"M",21,"43",460,1054.13043478261
"M",22,"266",773,1145.45924967658
"M",22,"267",560,1152.38392857143
"M",22,"27",750,516.765333333333
"M",22,"43",414,1179.93236714976
"M",23,"1",643,515.517884914463
"M",23,"174",475,884.875789473684
"M",23,"18",549,432.40072859745
"M",23,"23",497,1028.05432595573
"M",23,"266",1604,1074.34600997506
"M",23,"267",1045,1095.14928229665
"M",23,"27",1479,446.156186612576
"M",23,"271",919,1054.17410228509
"M",23,"29",576,802.666666666667
"M",23,"31",481,549.101871101871
"M",23,"35",375,467.861333333333
"M",23,"41",505,945.053465346535
"M",23,"43",568,1164.91725352113
"M",24,"1",881,462.466515323496
"M",24,"11",382,448.858638743456
"M",24,"2",496,369.459677419355
"M",24,"24",506,1346.05731225296
"M",24,"26",460,616.195652173913
"M",24,"266",1670,1011.8754491018
"M",24,"267",1070,1021.14859813084
"M",24,"27",1434,391.484658298466
"M",24,"271",902,1037.63082039911
"M",24,"272",400,1087.965
"M",24,"29",569,766.630931458699
"M",24,"31",399,485.516290726817
"M",24,"35",496,530.219758064516
"M",24,"41",765,916.559477124183
"M",24,"43",765,1005.43006535948
"M",25,"1",1171,428.959863364646
"M",25,"14",396,536.348484848485
"M",25,"25",822,1058.47080291971
"M",25,"266",897,947.423634336678
"M",25,"267",631,954.454833597464
"M",25,"27",642,547.197819314642
"M",25,"271",640,875.721875
"M",25,"29",377,704.93899204244
"M",25,"35",494,395.619433198381
"M",25,"41",684,759.96783625731
"M",25,"43",640,1114.4015625
"M",26,"107",620,424.76935483871
"M",26,"119",388,360.190721649485
"M",26,"125",383,400.900783289817
"M",26,"26",715,1710.71888111888
"M",26,"266",1748,529.75
"M",26,"267",877,557.510832383124
"M",26,"270",855,370.108771929825
"M",26,"271",1379,510.27556200145
"M",26,"29",554,376.745487364621
"M",26,"41",489,516.081799591002
"M",26,"43",1034,568.636363636364
"M",27,"1",1698,444.028857479388
"M",27,"10",606,853.773927392739
"M",27,"103",589,821.777589134126
"M",27,"111",486,724.491769547325
"M",27,"112",478,562.351464435146
"M",27,"113",372,549.051075268817
"M",27,"116",401,585.750623441397
"M",27,"119",392,492.65306122449
"M",27,"124",391,721.636828644501
"M",27,"14",783,828.402298850575
"M",27,"141",367,665.057220708447
"M",27,"15",1129,491.146147032772
"M",27,"16",515,705.165048543689
"M",27,"17",473,466.035940803383
"M",27,"174",1356,618.554572271386
"M",27,"176",378,880.034391534391
"M",27,"183",561,572.741532976827
"M",27,"23",537,702.102420856611
"M",27,"24",433,602.411085450346
"M",27,"25",432,918.196759259259
"M",27,"254",494,652.214574898785
"M",27,"255",587,542.921635434412
"M",27,"256",490,629.367346938776
"M",27,"26",863,499.96292004635
"M",27,"266",2206,836.242520398912
"M",27,"267",1506,830.667330677291
"M",27,"27",1487,1509.50033624748
"M",27,"270",744,744.903225806452
"M",27,"271",1441,781.732130464955
"M",27,"272",556,775.944244604317
"M",27,"28",605,603.089256198347
"M",27,"29",1219,568.343724364233
"M",27,"34",403,649.786600496278
"M",27,"37",462,705.58658008658
"M",27,"41",1096,898.182481751825
"M",27,"43",1598,944.921777221527
"M",27,"448",366,1130.96994535519
"M",28,"1",1005,622.497512437811
"M",28,"11",591,568.106598984772
"M",28,"207",600,794.516666666667
"M",28,"217",497,624.839034205231
"M",28,"24",486,324.539094650206
"M",28,"248",471,826.569002123142
"M",28,"250",400,496.3725
"M",28,"253",483,412.871635610766
"M",28,"266",1599,1083.26391494684
"M",28,"267",885,1140.54124293785
"M",28,"27",1586,467.354350567465
"M",28,"271",660,1107.6696969697
"M",28,"28",916,1369.06768558952
"M",28,"31",666,579.996996996997
"M",28,"43",437,1084.15560640732
"M",28,"447",373,321.983914209115
"M",28,"452",581,637.81239242685
"M",28,"463",399,1312.80200501253
"M",29,"10",404,420.118811881188
"M",29,"124",369,694.081300813008
"M",29,"135",398,625.077889447236
"M",29,"18",510,709.223529411765
"M",29,"19",488,637.760245901639
"M",29,"20",720,537.520833333333
"M",29,"23",367,858.378746594005
"M",29,"26",547,289.915904936015
"M",29,"266",673,532.005943536404
"M",29,"27",463,713.501079913607
"M",29,"271",395,588.144303797468
"M",29,"29",416,1010.34615384615
"M",29,"3",573,470.22687609075
"M",29,"43",397,842.183879093199
"M",30,"1",1040,470.993269230769
"M",30,"30",1015,1332.80985221675
"M",31,"1",373,541.817694369973
"M",31,"119",387,453.764857881137
"M",31,"134",378,498.693121693122
"M",31,"23",461,514.316702819957
"M",31,"266",566,877.588339222615
"M",31,"267",502,866.115537848606
"M",31,"28",929,495.474703982777
"M",31,"30",597,488.723618090452
"M",31,"31",415,865.002409638554
"M",31,"32",456,509.078947368421
"M",31,"35",392,514.563775510204
"M",32,"16",472,553.805084745763
"M",32,"2",984,454.852642276423
"M",32,"23",381,1239.67979002625
"M",32,"24",462,368.474025974026
"M",32,"266",578,1129.38408304498
"M",32,"267",390,1156.64102564103
"M",32,"271",454,1084.42511013216
"M",32,"32",499,968.464929859719
"M",32,"4",1026,386.060428849903
"M",32,"452",611,756.386252045826
"M",33,"108",646,1101.32507739938
"M",33,"139",538,1412.89033457249
"M",33,"155",678,1044.32005899705
"M",33,"175",398,1273.6959798995
"M",33,"190",478,1236.29707112971
"M",33,"241",560,1686.17678571429
"M",33,"247",500,1015.114
"M",33,"257",495,1266.44646464646
"M",33,"260",821,1236.69305724726
"M",33,"296",447,1382.70693512304
"M",33,"300",438,1344.70091324201
"M",33,"33",2213,1778.43199277
"M",33,"449",924,906.737012987013
"M",33,"467",457,1105.62144420131
"M",33,"472",459,746.276688453159
"M",34,"1",2143,550.41343910406
"M",34,"11",425,565.92
"M",34,"16",423,494.283687943262
"M",34,"2",630,578.122222222222
"M",34,"20",391,474.015345268542
"M",34,"24",444,385.689189189189
"M",34,"25",368,478.084239130435
"M",34,"27",375,698.666666666667
"M",34,"34",712,1284.65730337079
"M",35,"1",1989,532.614379084967
"M",35,"11",553,533.596745027125
"M",35,"16",438,445.7899543379
"M",35,"17",509,329.935166994106
"M",35,"2",469,613.059701492537
"M",35,"24",569,391.652021089631
"M",35,"25",610,448.126229508197
"M",35,"266",369,1023.55013550136
"M",35,"27",460,483.991304347826
"M",35,"32",390,393
"M",35,"35",462,1330.97835497835
"M",36,"182",672,715.129464285714
"M",36,"24",399,613.353383458647
"M",36,"36",695,1016.69784172662
"M",36,"38",616,319.086038961039
"M",36,"45",661,296.399394856278
"M",36,"46",420,346.797619047619
"M",37,"207",442,760.789592760181
"M",37,"27",846,573.562647754137
"M",37,"37",836,1111.10526315789
"M",38,"179",459,624.230936819172
"M",38,"36",645,326.156589147287
"M",38,"38",733,999.230559345157
"M",38,"40",404,380.908415841584
"M",38,"45",625,399.5264
"M",39,"150",370,553.813513513513
"M",39,"38",384,341.697916666667
"M",39,"39",751,1113.39813581891
"M",39,"447",452,368.705752212389
"M",40,"36",422,504.142180094787
"M",40,"38",634,322.345425867508
"M",40,"39",393,265.445292620865
"M",40,"40",497,1018.05633802817
"M",40,"46",377,464.190981432361
"M",40,"47",514,397.019455252918
"M",41,"1",470,867.068085106383
"M",41,"10",1064,329.431390977444
"M",41,"11",613,758.029363784666
"M",41,"12",440,735.959090909091
"M",41,"14",660,1054.60151515152
"M",41,"15",658,871.709726443769
"M",41,"16",821,883.481120584653
"M",41,"17",673,784.970282317979
"M",41,"18",906,736.940397350993
"M",41,"19",1182,607.993231810491
"M",41,"194",366,1343.46174863388
"M",41,"20",1381,487.422157856626
"M",41,"25",501,823.890219560878
"M",41,"256",754,401.018567639257
"M",41,"26",701,304.175463623395
"M",41,"266",1145,518.144978165939
"M",41,"267",720,488.65
"M",41,"27",926,633.519438444924
"M",41,"270",400,594.985
"M",41,"271",696,586.777298850575
"M",41,"3",1386,411.405483405483
"M",41,"41",1047,1369.10983763133
"M",43,"10",576,599.907986111111
"M",43,"15",460,1108.78695652174
"M",43,"18",722,863.3891966759
"M",43,"19",676,830.483727810651
"M",43,"20",475,819.004210526316
"M",43,"256",421,722.501187648456
"M",43,"26",453,537.673289183223
"M",43,"266",1059,701.541076487252
"M",43,"267",517,715.841392649903
"M",43,"27",550,1079.22
"M",43,"270",559,689.538461538462
"M",43,"271",647,747.536321483771
"M",43,"3",432,756.768518518518
"M",43,"41",505,1124.36831683168
"M",43,"43",1306,1548.49310872894
"M",44,"44",837,1185.3082437276
"M",44,"46",617,236.199351701783
"M",44,"47",425,383.112941176471
"M",45,"36",482,307.925311203319
"M",45,"40",375,452.88
"M",45,"45",1028,1030.09435797665
"M",45,"47",405,411.6
"M",46,"36",390,355.448717948718
"M",46,"46",401,1264.07730673317
"M",47,"134",461,516.162689804772
"M",47,"38",440,352.661363636364
"M",47,"40",523,292.984703632887
"M",47,"45",500,329.154
"M",47,"47",759,1460.15283267457
"M",48,"124",419,593.116945107399
"M",49,"46",593,311.153456998314
"M",49,"47",396,451.931818181818
"M",50,"36",375,272.157333333333
"M",51,"182",386,713.163212435233
"M",51,"36",519,517.150289017341
"M",51,"38",437,362.361556064073
"M",51,"40",468,363.527777777778
"M",52,"10",367,646.299727520436
"M",52,"15",381,1085.49343832021
"M",52,"18",394,928.799492385787
"M",52,"266",827,699.172914147521
"M",52,"267",431,685.696055684455
"M",52,"270",380,819.25
"M",52,"271",600,823.193333333333
"M",52,"3",375,781.373333333333
"M",52,"41",547,623.698354661792
"M",52,"43",1173,453.299232736573
"M",53,"36",740,334.190540540541
"M",53,"37",562,401.380782918149
"M",53,"447",384,275.986979166667
"M",53,"45",473,353.970401691332
"M",54,"182",445,613.251685393258
"M",54,"38",730,268.454794520548
"M",55,"43",480,697.33125
"M",56,"135",590,459.479661016949
"M",56,"32",425,451.635294117647
"M",56,"38",597,374.837520938023
"M",56,"40",469,315.54157782516
"M",57,"36",622,330.641479099678
"M",57,"38",426,340.265258215962
"M",57,"447",402,271.778606965174
"M",58,"182",546,509.668498168498
"M",58,"36",584,321.845890410959
"M",59,"134",397,495.702770780856
"M",59,"36",445,487.829213483146
"M",60,"36",955,295.561256544503
"M",61,"182",410,535.936585365854
"M",61,"38",537,394.387337057728
"M",62,"36",837,342.200716845878
"M",63,"182",434,509.838709677419
"M",63,"36",716,422.453910614525
"M",63,"47",613,477.960848287113
"M",64,"141",366,512.584699453552
