source,target,Viajes,Tiempo_Promedio
1,1,1549,24.5349688
1,2,509,7.051146038
1,4,698,7.130205349
1,5,491,7.10964019
1,6,404,13.41938944
1,7,429,11.72595183
1,9,558,6.895549582
1,11,786,7.472179813
1,12,484,6.752720386
1,14,789,11.39400084
1,18,1259,6.487437119
1,24,372,10.02356631
1,25,417,8.148241407
1,27,610,8.500136612
1,28,410,10.6101626
1,30,636,8.879323899
1,34,544,9.699877451
1,35,1246,8.883360086
1,86,776,7.724506014
1,103,496,9.527587366
1,121,413,9.00173527
1,174,912,9.387298977
1,183,510,8.732843137
1,254,415,9.55686747
1,271,628,13.69174628
10,10,679,24.78134512
10,52,374,12.42602496
10,266,456,8.871600877
103,1,379,9.904485488
103,11,387,9.255684755
103,18,721,9.692764679
103,103,757,23.61549978
103,111,417,8.752997602
103,174,376,10.27828014
103,256,522,8.191347382
106,92,434,12.09089862
106,95,590,6.904661017
106,106,660,28.06012626
106,107,466,13.18029328
106,266,366,19.93119308
107,107,532,26.83248747
107,113,1095,5.961111111
107,114,593,4.935019674
107,115,375,6.6548
107,116,450,6.886185185
107,124,479,7.118441197
107,133,388,7.715893471
107,271,376,14.18612589
108,33,619,20.1856489
108,108,603,31.45323383
108,139,406,25.49552545
108,257,377,21.42038019
108,260,427,24.4147541
109,109,461,26.11496746
109,124,442,10.62435897
11,1,706,6.910528801
11,11,1290,26.97600775
11,96,384,13.67855903
11,174,797,9.114450021
110,110,373,30.53619303
111,18,583,8.377015437
111,86,389,8.251928021
111,111,1097,23.79042844
111,174,1752,5.079756469
111,254,370,6.566801802
111,256,490,6.718129252
111,271,388,12.7766323
112,112,637,24.35724751
113,96,863,19.96444573
113,107,1058,6.368100189
113,113,573,56.45884235
113,119,440,7.841856061
114,114,478,25.66269177
115,115,1121,23.35978293
116,116,1057,24.534579
116,119,435,9.643524904
117,114,492,5.497831978
117,117,681,22.74735683
117,119,606,5.655968097
119,3,509,7.025933202
119,24,411,8.855150041
119,112,444,6.720157658
119,113,527,4.259803922
119,117,503,5.478926441
119,119,706,25.8181067
119,120,383,5.745604874
12,1,490,8.832755102
12,12,605,26.74404959
120,119,501,5.810978044
120,120,648,23.53263889
121,119,447,6.221215511
121,121,602,23.07643965
122,82,405,7.968065844
122,122,375,24.69871111
123,123,1135,17.05370044
124,20,395,11.45130802
124,82,1391,12.39417685
124,107,498,7.388353414
124,109,407,11.28185913
124,124,887,22.45398346
124,271,376,18.01515957
125,3,462,7.148809524
125,27,468,33.80498575
125,125,1815,24.45878788
126,126,642,23.84706646
126,134,540,6.018395062
126,141,511,8.179321592
127,127,463,23.68160547
128,128,548,28.0004562
129,129,775,19.76367742
130,130,450,18.51088889
131,131,582,25.89003436
131,133,525,6.159142857
132,132,383,23.61644909
133,126,369,8.309665763
133,131,380,7.983552632
133,133,1224,21.74538399
133,136,451,8.285735403
133,148,382,6.413481675
134,126,527,6.402055661
134,134,847,20.05777253
135,56,709,8.376798307
135,126,391,7.571057118
135,134,450,9.020925926
135,135,1243,23.84109681
135,136,1464,6.960849271
136,126,396,7.340572391
136,133,373,9.58588025
136,135,1310,6.788956743
136,136,898,21.51570156
136,137,384,7.175217014
137,126,412,7.199110032
137,136,400,7.265958333
137,137,765,21.94169935
138,138,601,21.06547421
138,149,471,5.673814579
139,33,1033,26.65309777
139,108,433,24.64861432
139,139,3109,30.52605339
139,155,756,20.10637125
139,190,370,25.59018018
139,257,504,22.28237434
139,296,417,25.43517186
139,449,515,29.01605178
14,1,420,10.94579365
14,14,822,35.612794
140,140,649,25.68587571
141,126,626,5.997124601
141,141,1535,17.52660152
141,148,386,4.807253886
141,149,508,6.171850394
141,158,635,8.050209974
141,159,422,7.561611374
142,142,967,21.11139262
143,143,448,25.80234375
143,149,578,3.977076125
144,141,545,5.527217125
144,144,651,24.16546339
145,145,907,22.96323043
145,149,522,5.358812261
145,158,614,6.007654723
146,36,538,11.55179678
146,71,410,6.634268293
146,145,468,6.621296296
146,146,999,21.15243577
146,149,410,7.558373984
147,146,418,6.422368421
147,147,497,22.16143528
148,145,369,4.606594399
149,133,443,8.616967645
149,140,488,5.171687158
149,141,400,7.0575
149,145,456,7.08249269
149,146,502,8.001726428
149,149,832,19.43048878
149,151,716,5.263198324
149,276,438,12.52888128
